Results Table 1


Results Table 2


Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(kN),(mm),(%),(MPa)
"0.0000","0.0666","0.0002","0.0666","0.1359","0.0817"
"0.0200","0.0687","0.0002","0.0687","0.1402","0.0747"
"0.0400","0.0770","0.0002","0.0770","0.1571","0.0879"
"0.0600","0.0937","0.0003","0.0937","0.1913","0.1168"
"0.0800","0.1151","0.0004","0.1151","0.2349","0.1513"
"0.1000","0.1375","0.0005","0.1375","0.2807","0.2085"
"0.1200","0.1587","0.0006","0.1587","0.3238","0.2688"
"0.1400","0.1784","0.0008","0.1784","0.3640","0.3478"
"0.1600","0.1972","0.0010","0.1972","0.4024","0.4083"
"0.1800","0.2151","0.0011","0.2151","0.4390","0.4663"
"0.2000","0.2325","0.0012","0.2325","0.4744","0.5207"
"0.2200","0.2495","0.0013","0.2495","0.5091","0.5448"
"0.2400","0.2662","0.0014","0.2662","0.5433","0.5985"
"0.2600","0.2830","0.0016","0.2830","0.5775","0.6545"
"0.2800","0.2996","0.0017","0.2996","0.6115","0.7112"
"0.3000","0.3165","0.0018","0.3165","0.6459","0.7668"
"0.3200","0.3332","0.0019","0.3332","0.6799","0.8116"
"0.3400","0.3499","0.0021","0.3499","0.7141","0.8578"
"0.3600","0.3664","0.0022","0.3664","0.7478","0.8971"
"0.3800","0.3831","0.0022","0.3831","0.7818","0.9372"
"0.4000","0.3997","0.0023","0.3997","0.8158","0.9715"
"0.4200","0.4164","0.0024","0.4164","0.8498","1.0127"
"0.4400","0.4333","0.0025","0.4333","0.8842","1.0519"
"0.4600","0.4501","0.0026","0.4501","0.9187","1.1026"
"0.4800","0.4668","0.0027","0.4668","0.9526","1.1346"
"0.5000","0.4833","0.0028","0.4833","0.9864","1.1654"
"0.5200","0.4998","0.0029","0.4998","1.0201","1.2187"
"0.5400","0.5165","0.0030","0.5165","1.0541","1.2615"
"0.5600","0.5333","0.0031","0.5333","1.0883","1.3117"
"0.5800","0.5500","0.0032","0.5500","1.1225","1.3437"
"0.6000","0.5668","0.0033","0.5668","1.1567","1.3593"
"0.6200","0.5835","0.0033","0.5835","1.1909","1.3951"
"0.6400","0.6000","0.0034","0.6000","1.2244","1.4242"
"0.6600","0.6165","0.0035","0.6165","1.2581","1.4667"
"0.6800","0.6329","0.0036","0.6329","1.2916","1.5073"
"0.7000","0.6497","0.0037","0.6497","1.3258","1.5369"
"0.7200","0.6664","0.0038","0.6664","1.3600","1.5720"
"0.7400","0.6831","0.0038","0.6831","1.3940","1.6001"
"0.7600","0.7001","0.0039","0.7001","1.4287","1.6186"
