Results Table 1


Results Table 2


Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
"4.4800","3.8067","0.0147","3.8067","7.7688","6.1398"
"4.5000","3.8232","0.0148","3.8232","7.8025","6.1698"
"4.5200","3.8401","0.0148","3.8401","7.8370","6.1867"
"4.5400","3.8569","0.0150","3.8569","7.8712","6.2295"
"4.5600","3.8734","0.0150","3.8734","7.9049","6.2629"
"4.5800","3.8902","0.0151","3.8902","7.9391","6.2902"
"4.6000","3.9069","0.0152","3.9069","7.9733","6.3184"
"4.6200","3.9233","0.0152","3.9233","8.0068","6.3333"
"4.6400","3.9397","0.0153","3.9397","8.0403","6.3685"
"4.6600","3.9566","0.0154","3.9566","8.0748","6.4051"
"4.6800","3.9736","0.0155","3.9736","8.1095","6.4459"
"4.7000","3.9900","0.0155","3.9900","8.1429","6.4478"
"4.7200","4.0067","0.0155","4.0067","8.1769","6.4754"
"4.7400","4.0237","0.0156","4.0237","8.2116","6.4973"
"4.7600","4.0402","0.0157","4.0402","8.2453","6.5226"
"4.7800","4.0564","0.0158","4.0564","8.2783","6.5658"
"4.8000","4.0732","0.0159","4.0732","8.3126","6.6079"
"4.8200","4.0902","0.0159","4.0902","8.3472","6.6420"
"4.8400","4.1069","0.0160","4.1069","8.3815","6.6625"
"4.8600","4.1234","0.0160","4.1234","8.4152","6.6549"
"4.8800","4.1402","0.0160","4.1402","8.4494","6.6810"
"4.9000","4.1569","0.0161","4.1569","8.4834","6.7100"
"4.9200","4.1733","0.0162","4.1733","8.5169","6.7356"
"4.9400","4.1898","0.0161","4.1898","8.5506","6.7160"
"4.9600","4.2067","0.0158","4.2067","8.5850","6.5915"
"4.9800","4.2236","0.0157","4.2236","8.6195","6.5402"
"5.0000","4.2401","0.0157","4.2401","8.6532","6.5556"
"5.0200","4.2566","0.0158","4.2566","8.6870","6.5871"
"5.0400","4.2735","0.0159","4.2735","8.7214","6.6312"
"5.0600","4.2900","0.0160","4.2900","8.7551","6.6464"
"5.0800","4.3065","0.0160","4.3065","8.7889","6.6813"
"5.1000","4.3232","0.0161","4.3232","8.8228","6.7251"
"5.1200","4.3403","0.0161","4.3403","8.8578","6.7263"
"5.1400","4.3571","0.0162","4.3571","8.8920","6.7521"
"5.1600","4.3735","0.0163","4.3735","8.9255","6.7888"
"5.1800","4.3901","0.0164","4.3901","8.9595","6.8297"
"5.2000","4.4067","0.0165","4.4067","8.9932","6.8730"
"5.2200","4.4232","0.0166","4.4232","9.0269","6.9104"
"5.2400","4.4398","0.0166","4.4398","9.0609","6.9325"
"5.2600","4.4568","0.0167","4.4568","9.0956","6.9471"
"5.2800","4.4738","0.0167","4.4738","9.1303","6.9720"
"5.3000","4.4902","0.0168","4.4902","9.1638","7.0133"
"5.3200","4.5068","0.0170","4.5068","9.1975","7.0686"
"5.3400","4.5234","0.0171","4.5234","9.2315","7.1057"
"5.3600","4.5398","0.0171","4.5398","9.2649","7.1160"
"5.3800","4.5566","0.0171","4.5566","9.2992","7.1422"
"5.4000","4.5735","0.0172","4.5735","9.3336","7.1803"
"5.4200","4.5904","0.0173","4.5904","9.3681","7.2030"
"5.4400","4.6069","0.0174","4.6069","9.4018","7.2334"
"5.4600","4.6234","0.0174","4.6234","9.4355","7.2610"
"5.4800","4.6399","0.0175","4.6399","9.4693","7.3047"
"5.5000","4.6568","0.0176","4.6568","9.5037","7.3335"
"5.5200","4.6736","0.0177","4.6736","9.5379","7.3634"
"5.5400","4.6901","0.0178","4.6901","9.5717","7.4043"
"5.5600","4.7071","0.0178","4.7071","9.6063","7.4224"
"5.5800","4.7238","0.0179","4.7238","9.6403","7.4506"
"5.6000","4.7402","0.0180","4.7402","9.6738","7.4949"
"5.6200","4.7566","0.0181","4.7566","9.7073","7.5365"
"5.6400","4.7733","0.0182","4.7733","9.7415","7.5844"
"5.6600","4.7901","0.0182","4.7901","9.7757","7.5926"
"5.6800","4.8066","0.0183","4.8066","9.8095","7.6079"
"5.7000","4.8233","0.0183","4.8233","9.8434","7.6326"
"5.7200","4.8399","0.0184","4.8399","9.8774","7.6723"
"5.7400","4.8565","0.0185","4.8565","9.9111","7.7082"
"5.7600","4.8726","0.0186","4.8726","9.9441","7.7370"
"5.7800","4.8894","0.0186","4.8894","9.9783","7.7610"
"5.8000","4.9066","0.0187","4.9066","10.0135","7.7877"
"5.8200","4.9234","0.0188","4.9234","10.0477","7.8261"
"5.8400","4.9400","0.0189","4.9400","10.0817","7.8704"
"5.8600","4.9572","0.0190","4.9572","10.1166","7.9016"
"5.8800","4.9739","0.0190","4.9739","10.1508","7.9267"
"5.9000","4.9902","0.0190","4.9902","10.1841","7.9354"
"5.9200","5.0066","0.0191","5.0066","10.2176","7.9651"
"5.9400","5.0235","0.0192","5.0235","10.2520","8.0066"
"5.9600","5.0403","0.0193","5.0403","10.2863","8.0361"
"5.9800","5.0569","0.0194","5.0569","10.3202","8.0737"
"6.0000","5.0736","0.0195","5.0736","10.3542","8.1134"
"6.0200","5.0904","0.0196","5.0904","10.3886","8.1468"
"6.0400","5.1067","0.0197","5.1067","10.4219","8.1886"
"6.0600","5.1231","0.0197","5.1231","10.4554","8.2145"
"6.0800","5.1400","0.0198","5.1400","10.4898","8.2410"
"6.1000","5.1569","0.0198","5.1569","10.5243","8.2634"
"6.1200","5.1735","0.0199","5.1735","10.5583","8.2860"
"6.1400","5.1901","0.0199","5.1901","10.5920","8.2887"
"6.1600","5.2070","0.0199","5.2070","10.6264","8.2747"
"6.1800","5.2235","0.0199","5.2235","10.6602","8.2874"
"6.2000","5.2397","0.0200","5.2397","10.6932","8.3157"
"6.2200","5.2563","0.0200","5.2563","10.7272","8.3374"
"6.2400","5.2734","0.0201","5.2734","10.7621","8.3680"
"6.2600","5.2902","0.0202","5.2902","10.7963","8.4021"
"6.2800","5.3068","0.0202","5.3068","10.8303","8.4269"
"6.3000","5.3236","0.0203","5.3236","10.8645","8.4414"
"6.3200","5.3405","0.0203","5.3405","10.8989","8.4789"
"6.3400","5.3567","0.0205","5.3567","10.9319","8.5267"
"6.3600","5.3731","0.0205","5.3731","10.9654","8.5596"
"6.3800","5.3899","0.0206","5.3899","10.9999","8.6033"
"6.4000","5.4069","0.0207","5.4069","11.0346","8.6358"
"6.4200","5.4236","0.0208","5.4236","11.0686","8.6612"
"6.4400","5.4402","0.0209","5.4402","11.1025","8.7024"
"6.4600","5.4568","0.0210","5.4568","11.1363","8.7371"
"6.4800","5.4732","0.0211","5.4732","11.1697","8.7804"
"6.5000","5.4896","0.0212","5.4896","11.2032","8.8181"
"6.5200","5.5062","0.0212","5.5062","11.2372","8.8412"
"6.5400","5.5233","0.0213","5.5233","11.2721","8.8750"
"6.5600","5.5405","0.0214","5.5405","11.3071","8.9054"
"6.5800","5.5569","0.0215","5.5569","11.3406","8.9405"
"6.6000","5.5733","0.0216","5.5733","11.3740","8.9801"
"6.6200","5.5900","0.0216","5.5900","11.4083","9.0028"
"6.6400","5.6067","0.0217","5.6067","11.4422","9.0429"
"6.6600","5.6233","0.0218","5.6233","11.4762","9.0832"
"6.6800","5.6401","0.0218","5.6401","11.5104","9.1008"
"6.7000","5.6572","0.0219","5.6572","11.5453","9.1287"
"6.7200","5.6739","0.0220","5.6739","11.5793","9.1703"
"6.7400","5.6902","0.0221","5.6902","11.6126","9.2070"
"6.7600","5.7066","0.0222","5.7066","11.6461","9.2355"
"6.7800","5.7233","0.0222","5.7233","11.6803","9.2598"
"6.8000","5.7399","0.0223","5.7399","11.7140","9.2962"
"6.8200","5.7566","0.0224","5.7566","11.7482","9.3346"
"6.8400","5.7736","0.0225","5.7736","11.7829","9.3674"
"6.8600","5.7904","0.0225","5.7904","11.8171","9.3951"
"6.8800","5.8066","0.0226","5.8066","11.8501","9.4254"
"6.9000","5.8231","0.0227","5.8231","11.8839","9.4558"
"6.9200","5.8399","0.0227","5.8399","11.9181","9.4737"
"6.9400","5.8566","0.0228","5.8566","11.9523","9.4937"
"6.9600","5.8733","0.0228","5.8733","11.9862","9.5115"
"6.9800","5.8903","0.0229","5.8903","12.0209","9.5330"
"7.0000","5.9071","0.0230","5.9071","12.0554","9.5744"
"7.0200","5.9236","0.0231","5.9236","12.0889","9.6123"
"7.0400","5.9398","0.0231","5.9398","12.1221","9.6362"
"7.0600","5.9565","0.0232","5.9565","12.1561","9.6499"
"7.0800","5.9735","0.0232","5.9735","12.1908","9.6810"
"7.1000","5.9901","0.0233","5.9901","12.2248","9.7170"
"7.1200","6.0067","0.0234","6.0067","12.2585","9.7353"
"7.1400","6.0235","0.0235","6.0235","12.2930","9.7740"
"7.1600","6.0403","0.0235","6.0403","12.3272","9.8107"
"7.1800","6.0565","0.0236","6.0565","12.3602","9.8510"
"7.2000","6.0729","0.0237","6.0729","12.3937","9.8845"
"7.2200","6.0900","0.0238","6.0900","12.4286","9.9140"
"7.2400","6.1068","0.0239","6.1068","12.4628","9.9443"
"7.2600","6.1234","0.0239","6.1234","12.4968","9.9617"
"7.2800","6.1403","0.0240","6.1403","12.5312","9.9881"
"7.3000","6.1571","0.0240","6.1571","12.5654","10.0203"
"7.3200","6.1735","0.0241","6.1735","12.5989","10.0450"
"7.3400","6.1898","0.0242","6.1898","12.6322","10.0783"
"7.3600","6.2065","0.0243","6.2065","12.6664","10.1138"
"7.3800","6.2237","0.0244","6.2237","12.7013","10.1570"
"7.4000","6.2402","0.0245","6.2402","12.7351","10.2004"
"7.4200","6.2569","0.0246","6.2569","12.7693","10.2386"
"7.4400","6.2737","0.0247","6.2737","12.8035","10.2971"
"7.4600","6.2901","0.0248","6.2901","12.8370","10.3233"
"7.4800","6.3065","0.0249","6.3065","12.8705","10.3707"
"7.5000","6.3232","0.0249","6.3232","12.9044","10.3923"
"7.5200","6.3403","0.0250","6.3403","12.9394","10.4255"
"7.5400","6.3571","0.0251","6.3571","12.9736","10.4569"
"7.5600","6.3735","0.0252","6.3735","13.0071","10.4947"
"7.5800","6.3901","0.0253","6.3901","13.0410","10.5328"
"7.6000","6.4066","0.0254","6.4066","13.0748","10.5750"
"7.6200","6.4232","0.0255","6.4232","13.1085","10.6065"
"7.6400","6.4397","0.0255","6.4397","13.1422","10.6313"
"7.6600","6.4568","0.0255","6.4568","13.1772","10.6411"
"7.6800","6.4737","0.0256","6.4737","13.2116","10.6715"
"7.7000","6.4903","0.0257","6.4903","13.2456","10.7104"
"7.7200","6.5067","0.0258","6.5067","13.2791","10.7446"
"7.7400","6.5234","0.0259","6.5234","13.3131","10.7890"
"7.7600","6.5399","0.0259","6.5399","13.3468","10.8106"
"7.7800","6.5565","0.0260","6.5565","13.3805","10.8464"
"7.8000","6.5731","0.0261","6.5731","13.4145","10.8884"
"7.8200","6.5901","0.0261","6.5901","13.4492","10.8885"
"7.8400","6.6070","0.0262","6.6070","13.4836","10.9181"
"7.8600","6.6234","0.0262","6.6234","13.5171","10.9361"
"7.8800","6.6398","0.0263","6.6398","13.5506","10.9726"
"7.9000","6.6566","0.0263","6.6566","13.5848","10.9695"
"7.9200","6.6732","0.0264","6.6732","13.6188","10.9853"
"7.9400","6.6900","0.0265","6.6900","13.6530","11.0247"
"7.9600","6.7070","0.0265","6.7070","13.6877","11.0562"
"7.9800","6.7239","0.0266","6.7239","13.7221","11.0901"
"8.0000","6.7404","0.0267","6.7404","13.7559","11.1242"
"8.0200","6.7566","0.0267","6.7566","13.7889","11.1438"
"8.0400","6.7730","0.0268","6.7730","13.8224","11.1719"
"8.0600","6.7896","0.0269","6.7896","13.8563","11.2067"
"8.0800","6.8063","0.0270","6.8063","13.8903","11.2429"
"8.1000","6.8231","0.0270","6.8231","13.9248","11.2666"
"8.1200","6.8403","0.0271","6.8403","13.9597","11.2947"
"8.1400","6.8568","0.0272","6.8568","13.9934","11.3390"
"8.1600","6.8733","0.0273","6.8733","14.0272","11.3716"
"8.1800","6.8897","0.0274","6.8897","14.0607","11.4100"
"8.2000","6.9067","0.0275","6.9067","14.0953","11.4422"
"8.2200","6.9234","0.0275","6.9234","14.1293","11.4661"
"8.2400","6.9400","0.0277","6.9400","14.1633","11.5280"
"8.2600","6.9569","0.0277","6.9569","14.1977","11.5546"
"8.2800","6.9738","0.0278","6.9738","14.2322","11.5927"
"8.3000","6.9901","0.0278","6.9901","14.2654","11.5914"
"8.3200","7.0065","0.0279","7.0065","14.2989","11.6237"
"8.3400","7.0234","0.0280","7.0234","14.3334","11.6586"
"8.3600","7.0400","0.0281","7.0400","14.3674","11.6961"
"8.3800","7.0567","0.0282","7.0567","14.4013","11.7385"
"8.4000","7.0734","0.0283","7.0734","14.4355","11.7821"
"8.4200","7.0903","0.0284","7.0903","14.4700","11.8136"
"8.4400","7.1067","0.0284","7.1067","14.5035","11.8371"
"8.4600","7.1229","0.0284","7.1229","14.5365","11.8492"
"8.4800","7.1396","0.0285","7.1396","14.5707","11.8887"
"8.5000","7.1566","0.0286","7.1566","14.6054","11.9236"
"8.5200","7.1733","0.0287","7.1733","14.6394","11.9460"
"8.5400","7.1898","0.0288","7.1898","14.6731","11.9828"
"8.5600","7.2067","0.0288","7.2067","14.7076","12.0060"
"8.5800","7.2233","0.0289","7.2233","14.7415","12.0264"
"8.6000","7.2394","0.0289","7.2394","14.7743","12.0436"
"8.6200","7.2560","0.0289","7.2560","14.8083","12.0533"
"8.6400","7.2732","0.0289","7.2732","14.8432","12.0598"
