Results Table 1


Results Table 2


Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
(s),(mm),(kN),(mm),(%),(MPa)
"0.0000","0.0734","0.0004","0.0734","0.1499","0.1575"
"0.0200","0.0756","0.0004","0.0756","0.1542","0.1592"
"0.0400","0.0830","0.0004","0.0830","0.1694","0.1858"
"0.0600","0.0990","0.0005","0.0990","0.2021","0.2196"
"0.0800","0.1210","0.0006","0.1210","0.2470","0.2681"
"0.1000","0.1438","0.0008","0.1438","0.2935","0.3344"
"0.1200","0.1652","0.0010","0.1652","0.3371","0.4086"
"0.1400","0.1851","0.0012","0.1851","0.3778","0.4980"
"0.1600","0.2039","0.0013","0.2039","0.4161","0.5521"
"0.1800","0.2221","0.0015","0.2221","0.4532","0.6150"
"0.2000","0.2394","0.0017","0.2394","0.4886","0.6944"
"0.2200","0.2564","0.0018","0.2564","0.5233","0.7617"
"0.2400","0.2732","0.0019","0.2732","0.5575","0.8081"
"0.2600","0.2901","0.0020","0.2901","0.5920","0.8513"
"0.2800","0.3069","0.0022","0.3069","0.6264","0.9113"
"0.3000","0.3238","0.0023","0.3238","0.6609","0.9717"
"0.3200","0.3405","0.0024","0.3405","0.6948","1.0082"
"0.3400","0.3570","0.0025","0.3570","0.7286","1.0604"
"0.3600","0.3734","0.0027","0.3734","0.7621","1.1116"
"0.3800","0.3898","0.0028","0.3898","0.7955","1.1810"
"0.4000","0.4066","0.0030","0.4066","0.8298","1.2392"
"0.4200","0.4233","0.0031","0.4233","0.8640","1.2835"
"0.4400","0.4402","0.0032","0.4402","0.8984","1.3396"
"0.4600","0.4571","0.0033","0.4571","0.9329","1.3692"
"0.4800","0.4738","0.0034","0.4738","0.9669","1.4210"
"0.5000","0.4903","0.0035","0.4903","1.0006","1.4723"
"0.5200","0.5068","0.0037","0.5068","1.0343","1.5222"
"0.5400","0.5233","0.0038","0.5233","1.0680","1.5663"
"0.5600","0.5402","0.0039","0.5402","1.1025","1.6087"
"0.5800","0.5570","0.0040","0.5570","1.1367","1.6608"
"0.6000","0.5737","0.0041","0.5737","1.1709","1.7016"
"0.6200","0.5905","0.0042","0.5905","1.2051","1.7425"
"0.6400","0.6070","0.0043","0.6070","1.2389","1.7817"
"0.6600","0.6233","0.0044","0.6233","1.2721","1.8141"
"0.6800","0.6399","0.0045","0.6399","1.3058","1.8620"
"0.7000","0.6566","0.0046","0.6566","1.3401","1.9040"
"0.7200","0.6734","0.0046","0.6734","1.3743","1.9338"
"0.7400","0.6900","0.0047","0.6900","1.4082","1.9671"
"0.7600","0.7068","0.0049","0.7068","1.4424","2.0266"
"0.7800","0.7234","0.0050","0.7234","1.4764","2.0674"
"0.8000","0.7399","0.0050","0.7399","1.5099","2.0900"
"0.8200","0.7564","0.0051","0.7564","1.5436","2.1075"
"0.8400","0.7733","0.0051","0.7733","1.5781","2.1458"
"0.8600","0.7901","0.0052","0.7901","1.6125","2.1735"
"0.8800","0.8069","0.0053","0.8069","1.6468","2.2032"
"0.9000","0.8236","0.0054","0.8236","1.6807","2.2481"
"0.9200","0.8403","0.0055","0.8403","1.7149","2.2830"
"0.9400","0.8567","0.0055","0.8567","1.7484","2.3069"
"0.9600","0.8731","0.0056","0.8731","1.7819","2.3378"
"0.9800","0.8900","0.0057","0.8900","1.8164","2.3654"
"1.0000","0.9069","0.0058","0.9069","1.8508","2.3996"
"1.0200","0.9237","0.0058","0.9237","1.8850","2.4280"
"1.0400","0.9401","0.0059","0.9401","1.9185","2.4522"
"1.0600","0.9567","0.0059","0.9567","1.9525","2.4710"
"1.0800","0.9734","0.0060","0.9734","1.9865","2.5001"
"1.1000","0.9897","0.0061","0.9897","2.0197","2.5276"
"1.1200","1.0064","0.0061","1.0064","2.0539","2.5390"
"1.1400","1.0234","0.0061","1.0234","2.0886","2.5405"
"1.1600","1.0401","0.0062","1.0401","2.1226","2.5706"
"1.1800","1.0567","0.0063","1.0567","2.1566","2.6103"
"1.2000","1.0734","0.0063","1.0734","2.1905","2.6431"
"1.2200","1.0901","0.0064","1.0901","2.2247","2.6736"
"1.2400","1.1065","0.0065","1.1065","2.2582","2.7088"
"1.2600","1.1231","0.0065","1.1231","2.2920","2.7196"
"1.2800","1.1399","0.0066","1.1399","2.3264","2.7390"
"1.3000","1.1571","0.0066","1.1571","2.3614","2.7666"
"1.3200","1.1738","0.0067","1.1738","2.3956","2.7931"
"1.3400","1.1902","0.0068","1.1902","2.4291","2.8195"
"1.3600","1.2069","0.0068","1.2069","2.4630","2.8348"
"1.3800","1.2234","0.0069","1.2234","2.4968","2.8607"
"1.4000","1.2399","0.0069","1.2399","2.5305","2.8722"
"1.4200","1.2566","0.0069","1.2566","2.5645","2.8870"
"1.4400","1.2736","0.0070","1.2736","2.5991","2.9134"
"1.4600","1.2902","0.0070","1.2902","2.6331","2.9354"
"1.4800","1.3068","0.0071","1.3068","2.6669","2.9653"
"1.5000","1.3232","0.0071","1.3232","2.7003","2.9781"
"1.5200","1.3398","0.0072","1.3398","2.7343","2.9867"
"1.5400","1.3566","0.0073","1.3566","2.7685","3.0451"
"1.5600","1.3733","0.0074","1.3733","2.8027","3.0699"
"1.5800","1.3902","0.0073","1.3902","2.8372","3.0513"
"1.6000","1.4071","0.0074","1.4071","2.8716","3.0755"
"1.6200","1.4237","0.0075","1.4237","2.9056","3.1049"
"1.6400","1.4402","0.0075","1.4402","2.9391","3.1147"
"1.6600","1.4567","0.0075","1.4567","2.9728","3.1163"
"1.6800","1.4735","0.0075","1.4735","3.0070","3.1316"
"1.7000","1.4900","0.0075","1.4900","3.0408","3.1457"
"1.7200","1.5067","0.0076","1.5067","3.0750","3.1586"
"1.7400","1.5235","0.0076","1.5235","3.1092","3.1794"
"1.7600","1.5403","0.0076","1.5403","3.1434","3.1756"
"1.7800","1.5567","0.0077","1.5567","3.1769","3.2050"
"1.8000","1.5731","0.0078","1.5731","3.2104","3.2458"
"1.8200","1.5899","0.0078","1.5899","3.2446","3.2628"
"1.8400","1.6067","0.0079","1.6067","3.2791","3.2732"
"1.8600","1.6234","0.0079","1.6234","3.3130","3.2968"
"1.8800","1.6403","0.0080","1.6403","3.3475","3.3228"
"1.9000","1.6571","0.0080","1.6571","3.3819","3.3485"
"1.9200","1.6736","0.0081","1.6736","3.4154","3.3611"
"1.9400","1.6897","0.0081","1.6897","3.4484","3.3892"
"1.9600","1.7065","0.0082","1.7065","3.4826","3.4005"
"1.9800","1.7235","0.0082","1.7235","3.5173","3.4119"
"2.0000","1.7401","0.0082","1.7401","3.5513","3.4203"
"2.0200","1.7567","0.0083","1.7567","3.5850","3.4483"
"2.0400","1.7735","0.0083","1.7735","3.6195","3.4660"
"2.0600","1.7901","0.0083","1.7901","3.6532","3.4753"
"2.0800","1.8064","0.0084","1.8064","3.6865","3.4960"
"2.1000","1.8229","0.0085","1.8229","3.7202","3.5233"
"2.1200","1.8400","0.0085","1.8400","3.7551","3.5284"
"2.1400","1.8568","0.0085","1.8568","3.7893","3.5389"
"2.1600","1.8733","0.0085","1.8733","3.8231","3.5467"
"2.1800","1.8901","0.0085","1.8901","3.8573","3.5620"
"2.2000","1.9068","0.0086","1.9068","3.8915","3.5899"
"2.2200","1.9232","0.0087","1.9232","3.9250","3.6203"
"2.2400","1.9397","0.0087","1.9397","3.9585","3.6328"
"2.2600","1.9567","0.0087","1.9567","3.9932","3.6402"
"2.2800","1.9735","0.0088","1.9735","4.0276","3.6756"
"2.3000","1.9901","0.0089","1.9901","4.0614","3.6904"
"2.3200","2.0066","0.0089","2.0066","4.0951","3.6988"
"2.3400","2.0234","0.0089","2.0234","4.1293","3.7148"
"2.3600","2.0400","0.0089","2.0400","4.1633","3.7167"
"2.3800","2.0564","0.0090","2.0564","4.1968","3.7449"
"2.4000","2.0733","0.0090","2.0733","4.2312","3.7696"
"2.4200","2.0903","0.0091","2.0903","4.2659","3.7854"
"2.4400","2.1069","0.0091","2.1069","4.2999","3.7963"
"2.4600","2.1235","0.0091","2.1235","4.3336","3.8048"
"2.4800","2.1401","0.0092","2.1401","4.3676","3.8188"
"2.5000","2.1569","0.0092","2.1569","4.4018","3.8334"
"2.5200","2.1733","0.0092","2.1733","4.4353","3.8520"
"2.5400","2.1900","0.0093","2.1900","4.4695","3.8796"
"2.5600","2.2068","0.0094","2.2068","4.5037","3.9068"
"2.5800","2.2236","0.0094","2.2236","4.5379","3.9276"
"2.6000","2.2401","0.0095","2.2401","4.5716","3.9496"
"2.6200","2.2567","0.0095","2.2567","4.6056","3.9737"
"2.6400","2.2734","0.0096","2.2734","4.6396","3.9934"
"2.6600","2.2900","0.0096","2.2900","4.6736","4.0052"
"2.6800","2.3066","0.0097","2.3066","4.7073","4.0308"
"2.7000","2.3233","0.0097","2.3233","4.7415","4.0328"
"2.7200","2.3405","0.0097","2.3405","4.7764","4.0444"
"2.7400","2.3570","0.0097","2.3570","4.8102","4.0569"
"2.7600","2.3734","0.0098","2.3734","4.8437","4.0832"
"2.7800","2.3899","0.0099","2.3899","4.8774","4.1148"
"2.8000","2.4066","0.0099","2.4066","4.9114","4.1423"
"2.8200","2.4232","0.0100","2.4232","4.9453","4.1617"
"2.8400","2.4397","0.0100","2.4397","4.9791","4.1830"
"2.8600","2.4567","0.0101","2.4567","5.0137","4.1956"
"2.8800","2.4735","0.0101","2.4735","5.0480","4.2284"
"2.9000","2.4901","0.0102","2.4901","5.0819","4.2672"
"2.9200","2.5066","0.0103","2.5066","5.1154","4.2786"
"2.9400","2.5231","0.0103","2.5231","5.1491","4.2947"
"2.9600","2.5397","0.0103","2.5397","5.1831","4.3000"
"2.9800","2.5565","0.0104","2.5565","5.2173","4.3257"
"3.0000","2.5735","0.0104","2.5735","5.2520","4.3455"
"3.0200","2.5905","0.0105","2.5905","5.2867","4.3670"
"3.0400","2.6071","0.0106","2.6071","5.3207","4.4005"
"3.0600","2.6235","0.0106","2.6235","5.3542","4.4141"
"3.0800","2.6401","0.0106","2.6401","5.3879","4.4246"
"3.1000","2.6570","0.0106","2.6570","5.4224","4.4268"
"3.1200","2.6735","0.0106","2.6735","5.4561","4.4189"
"3.1400","2.6900","0.0107","2.6900","5.4898","4.4657"
"3.1600","2.7069","0.0108","2.7069","5.5243","4.5015"
"3.1800","2.7238","0.0109","2.7238","5.5587","4.5390"
"3.2000","2.7400","0.0109","2.7400","5.5917","4.5621"
"3.2200","2.7562","0.0110","2.7562","5.6250","4.5639"
"3.2400","2.7732","0.0110","2.7732","5.6597","4.5801"
"3.2600","2.7901","0.0110","2.7901","5.6941","4.6016"
"3.2800","2.8069","0.0111","2.8069","5.7283","4.6374"
"3.3000","2.8235","0.0112","2.8235","5.7623","4.6719"
"3.3200","2.8403","0.0113","2.8403","5.7965","4.6915"
"3.3400","2.8568","0.0113","2.8568","5.8303","4.7058"
"3.3600","2.8729","0.0113","2.8729","5.8630","4.7223"
"3.3800","2.8896","0.0114","2.8896","5.8972","4.7489"
"3.4000","2.9066","0.0114","2.9066","5.9319","4.7600"
"3.4200","2.9234","0.0115","2.9234","5.9661","4.7796"
"3.4400","2.9401","0.0115","2.9401","6.0001","4.8061"
"3.4600","2.9571","0.0116","2.9571","6.0348","4.8287"
"3.4800","2.9737","0.0117","2.9737","6.0688","4.8591"
"3.5000","2.9899","0.0117","2.9899","6.1018","4.8958"
"3.5200","3.0064","0.0118","3.0064","6.1355","4.9334"
"3.5400","3.0234","0.0119","3.0234","6.1702","4.9632"
"3.5600","3.0400","0.0119","3.0400","6.2042","4.9657"
"3.5800","3.0566","0.0119","3.0566","6.2379","4.9788"
"3.6000","3.0732","0.0120","3.0732","6.2719","4.9963"
"3.6200","3.0901","0.0120","3.0901","6.3063","5.0162"
"3.6400","3.1066","0.0121","3.1066","6.3401","5.0524"
"3.6600","3.1230","0.0122","3.1230","6.3736","5.0684"
"3.6800","3.1402","0.0122","3.1402","6.4085","5.0832"
"3.7000","3.1570","0.0123","3.1570","6.4429","5.1213"
"3.7200","3.1736","0.0123","3.1736","6.4767","5.1436"
"3.7400","3.1901","0.0124","3.1901","6.5104","5.1727"
"3.7600","3.2070","0.0125","3.2070","6.5449","5.1944"
"3.7800","3.2236","0.0125","3.2236","6.5788","5.2182"
"3.8000","3.2399","0.0126","3.2399","6.6121","5.2377"
"3.8200","3.2567","0.0126","3.2567","6.6463","5.2650"
"3.8400","3.2737","0.0127","3.2737","6.6810","5.2971"
"3.8600","3.2904","0.0128","3.2904","6.7152","5.3189"
"3.8800","3.3069","0.0128","3.3069","6.7487","5.3425"
"3.9000","3.3235","0.0129","3.3235","6.7827","5.3778"
"3.9200","3.3403","0.0130","3.3403","6.8169","5.4016"
"3.9400","3.3567","0.0130","3.3567","6.8504","5.4112"
"3.9600","3.3732","0.0130","3.3732","6.8841","5.4250"
"3.9800","3.3901","0.0131","3.3901","6.9185","5.4654"
"4.0000","3.4070","0.0132","3.4070","6.9530","5.5079"
"4.0200","3.4235","0.0133","3.4235","6.9867","5.5334"
"4.0400","3.4400","0.0133","3.4400","7.0204","5.5574"
"4.0600","3.4568","0.0134","3.4568","7.0547","5.5663"
"4.0800","3.4733","0.0134","3.4733","7.0884","5.6019"
"4.1000","3.4900","0.0135","3.4900","7.1224","5.6418"
"4.1200","3.5066","0.0136","3.5066","7.1563","5.6691"
"4.1400","3.5236","0.0137","3.5236","7.1910","5.7014"
"4.1600","3.5404","0.0137","3.5404","7.2252","5.7098"
"4.1800","3.5567","0.0138","3.5567","7.2585","5.7379"
"4.2000","3.5733","0.0138","3.5733","7.2925","5.7613"
"4.2200","3.5900","0.0139","3.5900","7.3264","5.7840"
"4.2400","3.6066","0.0140","3.6066","7.3604","5.8134"
"4.2600","3.6232","0.0140","3.6232","7.3944","5.8299"
"4.2800","3.6401","0.0140","3.6401","7.4288","5.8470"
"4.3000","3.6571","0.0141","3.6571","7.4635","5.8913"
"4.3200","3.6734","0.0142","3.6734","7.4968","5.9250"
"4.3400","3.6897","0.0143","3.6897","7.5300","5.9673"
"4.3600","3.7065","0.0144","3.7065","7.5642","5.9859"
"4.3800","3.7235","0.0144","3.7235","7.5989","6.0165"
"4.4000","3.7401","0.0145","3.7401","7.6329","6.0493"
"4.4200","3.7569","0.0146","3.7569","7.6671","6.0823"
"4.4400","3.7738","0.0146","3.7738","7.7016","6.0974"
"4.4600","3.7904","0.0147","3.7904","7.7355","6.1162"
