Results Table 1


Results Table 2


1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
,(s),(mm),(kN),(mm),(%),(MPa)
"","0.0000","0.0000","0.0000","0.0000","0.0000","0.0091"
"","0.0100","0.0004","0.0000","0.0004","0.0007","0.0060"
2,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
,(s),(mm),(kN),(mm),(%),(MPa)
"","0.0000","0.0666","0.0003","0.0666","0.1359","0.1241"
"","0.0200","0.0687","0.0003","0.0687","0.1402","0.1265"
"","0.0400","0.0767","0.0003","0.0767","0.1566","0.1361"
"","0.0600","0.0926","0.0004","0.0926","0.1889","0.1623"
"","0.0800","0.1145","0.0005","0.1145","0.2337","0.1992"
"","0.1000","0.1374","0.0007","0.1374","0.2804","0.2859"
"","0.1200","0.1587","0.0009","0.1587","0.3238","0.3721"
"","0.1400","0.1785","0.0011","0.1785","0.3643","0.4408"
"","0.1600","0.1973","0.0012","0.1973","0.4026","0.4977"
"","0.1800","0.2151","0.0013","0.2151","0.4390","0.5558"
"","0.2000","0.2326","0.0015","0.2326","0.4746","0.6072"
"","0.2200","0.2496","0.0016","0.2496","0.5093","0.6748"
"","0.2400","0.2663","0.0017","0.2663","0.5435","0.7193"
"","0.2600","0.2830","0.0019","0.2830","0.5775","0.7803"
"","0.2800","0.2997","0.0020","0.2997","0.6117","0.8358"
"","0.3000","0.3166","0.0021","0.3166","0.6462","0.8844"
"","0.3200","0.3333","0.0023","0.3333","0.6801","0.9424"
"","0.3400","0.3500","0.0024","0.3500","0.7144","0.9907"
"","0.3600","0.3666","0.0025","0.3666","0.7481","1.0429"
"","0.3800","0.3831","0.0026","0.3831","0.7818","1.0837"
"","0.4000","0.3997","0.0027","0.3997","0.8158","1.1254"
"","0.4200","0.4164","0.0028","0.4164","0.8498","1.1820"
"","0.4400","0.4331","0.0029","0.4331","0.8840","1.2260"
"","0.4600","0.4500","0.0030","0.4500","0.9184","1.2624"
"","0.4800","0.4668","0.0031","0.4668","0.9526","1.2824"
"","0.5000","0.4833","0.0032","0.4833","0.9864","1.3232"
"","0.5200","0.5000","0.0033","0.5000","1.0203","1.3739"
"","0.5400","0.5165","0.0034","0.5165","1.0541","1.4145"
"","0.5600","0.5333","0.0035","0.5333","1.0883","1.4533"
"","0.5800","0.5500","0.0036","0.5500","1.1225","1.4879"
"","0.6000","0.5667","0.0036","0.5667","1.1565","1.5097"
"","0.6200","0.5834","0.0037","0.5834","1.1907","1.5515"
"","0.6400","0.6001","0.0038","0.6001","1.2246","1.5884"
"","0.6600","0.6166","0.0039","0.6166","1.2584","1.6176"
"","0.6800","0.6330","0.0040","0.6330","1.2919","1.6477"
"","0.7000","0.6497","0.0040","0.6497","1.3258","1.6791"
"","0.7200","0.6664","0.0041","0.6664","1.3600","1.6956"
"","0.7400","0.6832","0.0041","0.6832","1.3943","1.7269"
"","0.7600","0.7001","0.0042","0.7001","1.4287","1.7617"
"","0.7800","0.7168","0.0043","0.7168","1.4629","1.7956"
"","0.8000","0.7332","0.0044","0.7332","1.4964","1.8199"
"","0.8200","0.7498","0.0045","0.7498","1.5301","1.8594"
"","0.8400","0.7665","0.0045","0.7665","1.5644","1.8799"
"","0.8600","0.7833","0.0045","0.7833","1.5986","1.8841"
"","0.8800","0.7999","0.0046","0.7999","1.6325","1.9301"
"","0.9000","0.8168","0.0047","0.8168","1.6670","1.9521"
"","0.9200","0.8335","0.0047","0.8335","1.7010","1.9747"
"","0.9400","0.8500","0.0048","0.8500","1.7347","1.9920"
"","0.9600","0.8664","0.0049","0.8664","1.7682","2.0237"
"","0.9800","0.8829","0.0049","0.8829","1.8019","2.0412"
"","1.0000","0.8997","0.0049","0.8997","1.8361","2.0461"
"","1.0200","0.9165","0.0050","0.9165","1.8703","2.0636"
"","1.0400","0.9331","0.0050","0.9331","1.9043","2.0817"
"","1.0600","0.9498","0.0051","0.9498","1.9383","2.1142"
"","1.0800","0.9664","0.0051","0.9664","1.9723","2.1431"
"","1.1000","0.9828","0.0051","0.9828","2.0057","2.1389"
