Results Table 1


Results Table 2


1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
"","1.1200","0.9995","0.0052","0.9995","2.0397","2.1513"
"","1.1400","1.0165","0.0052","1.0165","2.0744","2.1710"
"","1.1600","1.0332","0.0052","1.0332","2.1086","2.1782"
"","1.1800","1.0499","0.0053","1.0499","2.1426","2.1878"
"","1.2000","1.0666","0.0053","1.0666","2.1768","2.2090"
"","1.2200","1.0834","0.0054","1.0834","2.2110","2.2349"
"","1.2400","1.0998","0.0055","1.0998","2.2445","2.2775"
"","1.2600","1.1162","0.0055","1.1162","2.2780","2.2910"
"","1.2800","1.1331","0.0055","1.1331","2.3124","2.3030"
"","1.3000","1.1502","0.0056","1.1502","2.3474","2.3275"
"","1.3200","1.1669","0.0056","1.1669","2.3813","2.3466"
"","1.3400","1.1834","0.0057","1.1834","2.4151","2.3623"
"","1.3600","1.2000","0.0057","1.2000","2.4490","2.3824"
"","1.3800","1.2166","0.0058","1.2166","2.4828","2.4068"
"","1.4000","1.2330","0.0058","1.2330","2.5163","2.4165"
"","1.4200","1.2497","0.0058","1.2497","2.5505","2.4282"
"","1.4400","1.2666","0.0059","1.2666","2.5849","2.4440"
"","1.4600","1.2834","0.0059","1.2834","2.6191","2.4768"
"","1.4800","1.3000","0.0060","1.3000","2.6531","2.5037"
"","1.5000","1.3164","0.0060","1.3164","2.6866","2.5173"
"","1.5200","1.3328","0.0061","1.3328","2.7201","2.5391"
"","1.5400","1.3495","0.0061","1.3495","2.7541","2.5566"
"","1.5600","1.3661","0.0062","1.3661","2.7880","2.5817"
"","1.5800","1.3831","0.0062","1.3831","2.8227","2.5978"
"","1.6000","1.4000","0.0062","1.4000","2.8572","2.6000"
"","1.6200","1.4168","0.0064","1.4168","2.8914","2.6468"
"","1.6400","1.4333","0.0064","1.4333","2.9251","2.6686"
"","1.6600","1.4500","0.0064","1.4500","2.9591","2.6521"
"","1.6800","1.4666","0.0064","1.4666","2.9931","2.6586"
"","1.7000","1.4831","0.0064","1.4831","3.0268","2.6784"
"","1.7200","1.4997","0.0065","1.4997","3.0605","2.6988"
"","1.7400","1.5165","0.0065","1.5165","3.0950","2.7105"
"","1.7600","1.5334","0.0065","1.5334","3.1294","2.7172"
"","1.7800","1.5500","0.0066","1.5500","3.1632","2.7429"
"","1.8000","1.5664","0.0066","1.5664","3.1967","2.7574"
"","1.8200","1.5830","0.0066","1.5830","3.2306","2.7671"
"","1.8400","1.5998","0.0067","1.5998","3.2648","2.7889"
"","1.8600","1.6167","0.0067","1.6167","3.2993","2.8097"
"","1.8800","1.6334","0.0068","1.6334","3.3335","2.8395"
"","1.9000","1.6503","0.0068","1.6503","3.3680","2.8458"
"","1.9200","1.6668","0.0069","1.6668","3.4017","2.8605"
"","1.9400","1.6831","0.0069","1.6831","3.4349","2.8775"
"","1.9600","1.6995","0.0070","1.6995","3.4684","2.8986"
"","1.9800","1.7165","0.0070","1.7165","3.5031","2.9232"
"","2.0000","1.7333","0.0070","1.7333","3.5373","2.9297"
"","2.0200","1.7497","0.0071","1.7497","3.5708","2.9440"
"","2.0400","1.7665","0.0071","1.7665","3.6050","2.9617"
"","2.0600","1.7831","0.0072","1.7831","3.6390","2.9966"
"","2.0800","1.7995","0.0072","1.7995","3.6725","3.0153"
"","2.1000","1.8158","0.0073","1.8158","3.7057","3.0321"
"","2.1200","1.8327","0.0073","1.8327","3.7402","3.0479"
"","2.1400","1.8497","0.0073","1.8497","3.7749","3.0615"
"","2.1600","1.8665","0.0074","1.8665","3.8091","3.0746"
"","2.1800","1.8833","0.0074","1.8833","3.8436","3.1015"
"","2.2000","1.9001","0.0075","1.9001","3.8778","3.1248"
"","2.2200","1.9164","0.0075","1.9164","3.9110","3.1404"
"","2.2400","1.9326","0.0076","1.9326","3.9440","3.1516"
"","2.2600","1.9496","0.0076","1.9496","3.9787","3.1561"
"","2.2800","1.9668","0.0076","1.9668","4.0139","3.1729"
"","2.3000","1.9835","0.0076","1.9835","4.0479","3.1856"
"","2.3200","1.9999","0.0077","1.9999","4.0813","3.2091"
"","2.3400","2.0167","0.0078","2.0167","4.1158","3.2292"
"","2.3600","2.0335","0.0078","2.0335","4.1500","3.2600"
"","2.3800","2.0497","0.0079","2.0497","4.1830","3.2902"
"","2.4000","2.0662","0.0080","2.0662","4.2168","3.3147"
"","2.4200","2.0834","0.0080","2.0834","4.2519","3.3374"
"","2.4400","2.1003","0.0080","2.1003","4.2864","3.3289"
"","2.4600","2.1166","0.0080","2.1166","4.3196","3.3454"
"","2.4800","2.1331","0.0081","2.1331","4.3534","3.3768"
"","2.5000","2.1500","0.0081","2.1500","4.3878","3.3949"
"","2.5200","2.1666","0.0082","2.1666","4.4215","3.4072"
"","2.5400","2.1830","0.0082","2.1830","4.4550","3.4191"
"","2.5600","2.1997","0.0083","2.1997","4.4892","3.4414"
"","2.5800","2.2165","0.0083","2.2165","4.5235","3.4732"
"","2.6000","2.2331","0.0084","2.2331","4.5574","3.4910"
"","2.6200","2.2495","0.0084","2.2495","4.5909","3.5146"
"","2.6400","2.2663","0.0085","2.2663","4.6251","3.5318"
"","2.6600","2.2832","0.0085","2.2832","4.6596","3.5480"
"","2.6800","2.2998","0.0086","2.2998","4.6936","3.5756"
"","2.7000","2.3165","0.0086","2.3165","4.7275","3.6004"
"","2.7200","2.3334","0.0087","2.3334","4.7620","3.6219"
"","2.7400","2.3501","0.0087","2.3501","4.7962","3.6441"
"","2.7600","2.3664","0.0088","2.3664","4.8294","3.6659"
"","2.7800","2.3830","0.0088","2.3830","4.8632","3.6809"
"","2.8000","2.3998","0.0088","2.3998","4.8976","3.6587"
"","2.8200","2.4166","0.0089","2.4166","4.9318","3.6905"
"","2.8400","2.4331","0.0089","2.4331","4.9656","3.7108"
"","2.8600","2.4500","0.0090","2.4500","5.0000","3.7332"
"","2.8800","2.4670","0.0090","2.4670","5.0347","3.7586"
"","2.9000","2.4838","0.0091","2.4838","5.0689","3.7729"
"","2.9200","2.5002","0.0091","2.5002","5.1024","3.7950"
"","2.9400","2.5165","0.0092","2.5165","5.1357","3.8229"
"","2.9600","2.5331","0.0093","2.5331","5.1696","3.8592"
"","2.9800","2.5498","0.0093","2.5498","5.2036","3.8873"
"","3.0000","2.5663","0.0094","2.5663","5.2373","3.9056"
"","3.0200","2.5833","0.0094","2.5833","5.2720","3.9118"
"","3.0400","2.6002","0.0094","2.6002","5.3065","3.9248"
"","3.0600","2.6165","0.0095","2.6165","5.3397","3.9585"
"","3.0800","2.6328","0.0096","2.6328","5.3730","3.9915"
"","3.1000","2.6496","0.0096","2.6496","5.4074","4.0016"
"","3.1200","2.6666","0.0096","2.6666","5.4421","4.0184"
"","3.1400","2.6832","0.0097","2.6832","5.4758","4.0315"
"","3.1600","2.6998","0.0097","2.6998","5.5098","4.0498"
"","3.1800","2.7168","0.0098","2.7168","5.5445","4.0852"
"","3.2000","2.7333","0.0098","2.7333","5.5782","4.0911"
"","3.2200","2.7495","0.0098","2.7495","5.6113","4.0845"
"","3.2400","2.7662","0.0099","2.7662","5.6452","4.1137"
"","3.2600","2.7833","0.0100","2.7833","5.6802","4.1485"
"","3.2800","2.7999","0.0100","2.7999","5.7141","4.1609"
"","3.3000","2.8166","0.0100","2.8166","5.7481","4.1751"
"","3.3200","2.8335","0.0101","2.8335","5.7826","4.2055"
"","3.3400","2.8502","0.0101","2.8502","5.8168","4.2182"
"","3.3600","2.8665","0.0102","2.8665","5.8500","4.2373"
"","3.3800","2.8828","0.0102","2.8828","5.8833","4.2623"
"","3.4000","2.8998","0.0103","2.8998","5.9180","4.2813"
"","3.4200","2.9167","0.0104","2.9167","5.9524","4.3138"
"","3.4400","2.9333","0.0104","2.9333","5.9864","4.3398"
"","3.4600","2.9500","0.0105","2.9500","6.0204","4.3634"
"","3.4800","2.9669","0.0105","2.9669","6.0548","4.3931"
"","3.5000","2.9833","0.0106","2.9833","6.0883","4.4102"
"","3.5200","2.9996","0.0106","2.9996","6.1215","4.4311"
"","3.5400","3.0163","0.0107","3.0163","6.1558","4.4460"
"","3.5600","3.0332","0.0108","3.0332","6.1902","4.4800"
"","3.5800","3.0496","0.0108","3.0496","6.2237","4.4988"
"","3.6000","3.0663","0.0108","3.0663","6.2577","4.5031"
"","3.6200","3.0831","0.0107","3.0831","6.2921","4.4697"
"","3.6400","3.0998","0.0107","3.0998","6.3261","4.4463"
"","3.6600","3.1163","0.0106","3.1163","6.3598","4.4317"
"","3.6800","3.1331","0.0106","3.1331","6.3940","4.4343"
"","3.7000","3.1501","0.0107","3.1501","6.4287","4.4434"
"","3.7200","3.1668","0.0107","3.1668","6.4629","4.4788"
"","3.7400","3.1834","0.0108","3.1834","6.4967","4.5031"
"","3.7600","3.2000","0.0109","3.2000","6.5306","4.5238"
"","3.7800","3.2167","0.0109","3.2167","6.5646","4.5423"
"","3.8000","3.2331","0.0109","3.2331","6.5981","4.5345"
"","3.8200","3.2497","0.0108","3.2497","6.6321","4.5134"
"","3.8400","3.2667","0.0108","3.2667","6.6668","4.5008"
"","3.8600","3.2836","0.0109","3.2836","6.7012","4.5256"
"","3.8800","3.3002","0.0109","3.3002","6.7352","4.5531"
"","3.9000","3.3168","0.0110","3.3168","6.7689","4.5729"
"","3.9200","3.3334","0.0110","3.3334","6.8029","4.5662"
"","3.9400","3.3498","0.0109","3.3498","6.8364","4.5602"
"","3.9600","3.3664","0.0111","3.3664","6.8701","4.6123"
"","3.9800","3.3831","0.0112","3.3831","6.9043","4.6523"
"","4.0000","3.4001","0.0112","3.4001","6.9390","4.6660"
"","4.0200","3.4168","0.0112","3.4168","6.9730","4.6782"
"","4.0400","3.4332","0.0113","3.4332","7.0065","4.6930"
"","4.0600","3.4498","0.0113","3.4498","7.0404","4.7016"
"","4.0800","3.4666","0.0113","3.4666","7.0747","4.7069"
"","4.1000","3.4832","0.0113","3.4832","7.1086","4.7230"
"","4.1200","3.4999","0.0114","3.4999","7.1426","4.7451"
"","4.1400","3.5168","0.0114","3.5168","7.1771","4.7588"
"","4.1600","3.5335","0.0115","3.5335","7.2113","4.7784"
"","4.1800","3.5499","0.0115","3.5499","7.2448","4.7935"
"","4.2000","3.5663","0.0115","3.5663","7.2782","4.8096"
"","4.2200","3.5830","0.0116","3.5830","7.3122","4.8440"
"","4.2400","3.5997","0.0117","3.5997","7.3464","4.8711"
"","4.2600","3.6164","0.0118","3.6164","7.3804","4.9177"
"","4.2800","3.6333","0.0118","3.6333","7.4149","4.9358"
"","4.3000","3.6502","0.0119","3.6502","7.4493","4.9637"
"","4.3200","3.6667","0.0120","3.6667","7.4830","5.0126"
"","4.3400","3.6830","0.0121","3.6830","7.5163","5.0295"
"","4.3600","3.6996","0.0121","3.6996","7.5503","5.0469"
"","4.3800","3.7165","0.0121","3.7165","7.5847","5.0472"
"","4.4000","3.7334","0.0122","3.7334","7.6192","5.0703"
"","4.4200","3.7499","0.0123","3.7499","7.6529","5.1200"
"","4.4400","3.7668","0.0124","3.7668","7.6873","5.1515"
"","4.4600","3.7836","0.0125","3.7836","7.7216","5.1908"
"","4.4800","3.8000","0.0125","3.8000","7.7550","5.2209"
"","4.5000","3.8164","0.0126","3.8164","7.7885","5.2490"
"","4.5200","3.8333","0.0127","3.8333","7.8230","5.2732"
"","4.5400","3.8499","0.0127","3.8499","7.8570","5.2889"
"","4.5600","3.8666","0.0128","3.8666","7.8909","5.3132"
"","4.5800","3.8832","0.0128","3.8832","7.9249","5.3513"
"","4.6000","3.9001","0.0129","3.9001","7.9594","5.3734"
"","4.6200","3.9166","0.0130","3.9166","7.9931","5.4094"
"","4.6400","3.9329","0.0131","3.9329","8.0263","5.4388"
"","4.6600","3.9495","0.0131","3.9495","8.0603","5.4593"
"","4.6800","3.9667","0.0132","3.9667","8.0952","5.4820"
"","4.7000","3.9834","0.0132","3.9834","8.1294","5.4985"
"","4.7200","4.0000","0.0133","4.0000","8.1632","5.5398"
"","4.7400","4.0167","0.0133","4.0167","8.1974","5.5498"
"","4.7600","4.0335","0.0134","4.0335","8.2316","5.5702"
"","4.7800","4.0498","0.0135","4.0498","8.2649","5.6073"
"","4.8000","4.0663","0.0135","4.0663","8.2986","5.6262"
"","4.8200","4.0833","0.0136","4.0833","8.3333","5.6629"
"","4.8400","4.1001","0.0137","4.1001","8.3675","5.6956"
"","4.8600","4.1166","0.0137","4.1166","8.4012","5.7270"
"","4.8800","4.1332","0.0138","4.1332","8.4352","5.7546"
"","4.9000","4.1500","0.0139","4.1500","8.4694","5.7810"
"","4.9200","4.1665","0.0140","4.1665","8.5031","5.8212"
"","4.9400","4.1828","0.0140","4.1828","8.5364","5.8370"
"","4.9600","4.1997","0.0141","4.1997","8.5708","5.8642"
"","4.9800","4.2167","0.0142","4.2167","8.6055","5.8998"
"","5.0000","4.2334","0.0142","4.2334","8.6395","5.9372"
"","5.0200","4.2498","0.0143","4.2498","8.6730","5.9685"
"","5.0400","4.2665","0.0144","4.2665","8.7072","5.9817"
"","5.0600","4.2833","0.0144","4.2833","8.7414","6.0145"
"","5.0800","4.2996","0.0145","4.2996","8.7747","6.0383"
"","5.1000","4.3162","0.0145","4.3162","8.8086","6.0533"
"","5.1200","4.3332","0.0146","4.3332","8.8433","6.0757"
"","5.1400","4.3503","0.0147","4.3503","8.8783","6.1170"
"","5.1600","4.3668","0.0148","4.3668","8.9117","6.1464"
"","5.1800","4.3833","0.0148","4.3833","8.9455","6.1810"
"","5.2000","4.3999","0.0149","4.3999","8.9794","6.2048"
"","5.2200","4.4165","0.0150","4.4165","9.0132","6.2395"
"","5.2400","4.4331","0.0150","4.4331","9.0471","6.2545"
"","5.2600","4.4497","0.0151","4.4497","9.0811","6.2724"
"","5.2800","4.4667","0.0151","4.4667","9.1158","6.2929"
"","5.3000","4.4835","0.0151","4.4835","9.1500","6.3029"
"","5.3200","4.4999","0.0152","4.4999","9.1835","6.3454"
"","5.3400","4.5165","0.0153","4.5165","9.2172","6.3759"
"","5.3600","4.5331","0.0154","4.5331","9.2512","6.4040"
"","5.3800","4.5499","0.0155","4.5499","9.2854","6.4392"
"","5.4000","4.5665","0.0156","4.5665","9.3194","6.4803"
"","5.4200","4.5835","0.0156","4.5835","9.3541","6.5047"
"","5.4400","4.6003","0.0156","4.6003","9.3883","6.5207"
"","5.4600","4.6167","0.0157","4.6167","9.4218","6.5469"
"","5.4800","4.6331","0.0158","4.6331","9.4553","6.5933"
"","5.5000","4.6499","0.0158","4.6499","9.4895","6.5902"
"","5.5200","4.6667","0.0158","4.6667","9.5240","6.5860"
"","5.5400","4.6834","0.0159","4.6834","9.5579","6.6292"
"","5.5600","4.7000","0.0160","4.7000","9.5919","6.6810"
"","5.5800","4.7169","0.0161","4.7169","9.6263","6.7112"
"","5.6000","4.7334","0.0161","4.7334","9.6601","6.7267"
"","5.6200","4.7497","0.0162","4.7497","9.6933","6.7611"
"","5.6400","4.7664","0.0163","4.7664","9.7273","6.8013"
"","5.6600","4.7833","0.0164","4.7833","9.7617","6.8327"
"","5.6800","4.8000","0.0164","4.8000","9.7960","6.8529"
"","5.7000","4.8164","0.0165","4.8164","9.8294","6.8835"
"","5.7200","4.8332","0.0166","4.8332","9.8637","6.9149"
"","5.7400","4.8501","0.0167","4.8501","9.8981","6.9481"
"","5.7600","4.8665","0.0168","4.8665","9.9316","6.9884"
"","5.7800","4.8828","0.0168","4.8828","9.9649","7.0204"
"","5.8000","4.8997","0.0169","4.8997","9.9993","7.0382"
"","5.8200","4.9167","0.0170","4.9167","10.0340","7.0694"
"","5.8400","4.9332","0.0170","4.9332","10.0677","7.0858"
"","5.8600","4.9498","0.0171","4.9498","10.1017","7.1357"
"","5.8800","4.9668","0.0172","4.9668","10.1364","7.1787"
"","5.9000","4.9832","0.0173","4.9832","10.1699","7.2100"
"","5.9200","4.9995","0.0173","4.9995","10.2031","7.2168"
"","5.9400","5.0163","0.0173","5.0163","10.2373","7.2274"
"","5.9600","5.0333","0.0174","5.0333","10.2720","7.2673"
"","5.9800","5.0501","0.0175","5.0501","10.3062","7.3065"
"","6.0000","5.0666","0.0176","5.0666","10.3400","7.3469"
"","6.0200","5.0834","0.0177","5.0834","10.3742","7.3757"
"","6.0400","5.1000","0.0178","5.1000","10.4082","7.3979"
"","6.0600","5.1164","0.0179","5.1164","10.4417","7.4399"
"","6.0800","5.1331","0.0179","5.1331","10.4756","7.4781"
"","6.1000","5.1499","0.0180","5.1499","10.5101","7.4979"
"","6.1200","5.1667","0.0181","5.1667","10.5443","7.5425"
"","6.1400","5.1833","0.0182","5.1833","10.5783","7.5633"
"","6.1600","5.2000","0.0182","5.2000","10.6122","7.5953"
"","6.1800","5.2168","0.0183","5.2168","10.6464","7.6253"
"","6.2000","5.2330","0.0184","5.2330","10.6797","7.6737"
"","6.2200","5.2495","0.0185","5.2495","10.7132","7.7240"
"","6.2400","5.2665","0.0186","5.2665","10.7479","7.7381"
"","6.2600","5.2833","0.0187","5.2833","10.7823","7.7758"
"","6.2800","5.3000","0.0187","5.3000","10.8163","7.7888"
"","6.3000","5.3166","0.0187","5.3166","10.8503","7.8110"
"","6.3200","5.3334","0.0189","5.3334","10.8845","7.8571"
"","6.3400","5.3499","0.0190","5.3499","10.9182","7.8994"
"","6.3600","5.3663","0.0190","5.3663","10.9517","7.9322"
"","6.3800","5.3829","0.0191","5.3829","10.9854","7.9515"
"","6.4000","5.3999","0.0191","5.3999","11.0201","7.9753"
"","6.4200","5.4167","0.0192","5.4167","11.0546","8.0135"
"","6.4400","5.4333","0.0193","5.4333","11.0883","8.0328"
"","6.4600","5.4499","0.0193","5.4499","11.1223","8.0475"
"","6.4800","5.4666","0.0194","5.4666","11.1562","8.0809"
"","6.5000","5.4830","0.0195","5.4830","11.1897","8.1230"
"","6.5200","5.4995","0.0196","5.4995","11.2235","8.1545"
"","6.5400","5.5163","0.0196","5.5163","11.2577","8.1647"
"","6.5600","5.5334","0.0196","5.5334","11.2926","8.1850"
"","6.5800","5.5500","0.0197","5.5500","11.3266","8.2188"
"","6.6000","5.5666","0.0198","5.5666","11.3603","8.2489"
"","6.6200","5.5832","0.0199","5.5832","11.3943","8.3021"
"","6.6400","5.5998","0.0200","5.5998","11.4283","8.3256"
"","6.6600","5.6165","0.0200","5.6165","11.4622","8.3483"
"","6.6800","5.6333","0.0201","5.6333","11.4964","8.3723"
"","6.7000","5.6503","0.0202","5.6503","11.5311","8.4067"
"","6.7200","5.6670","0.0203","5.6670","11.5653","8.4504"
"","6.7400","5.6834","0.0203","5.6834","11.5988","8.4779"
"","6.7600","5.6998","0.0204","5.6998","11.6323","8.5155"
"","6.7800","5.7165","0.0205","5.7165","11.6663","8.5580"
"","6.8000","5.7330","0.0206","5.7330","11.7000","8.5879"
"","6.8200","5.7497","0.0207","5.7497","11.7340","8.6208"
"","6.8400","5.7665","0.0207","5.7665","11.7684","8.6448"
"","6.8600","5.7835","0.0208","5.7835","11.8031","8.6772"
"","6.8800","5.8000","0.0209","5.8000","11.8366","8.7116"
"","6.9000","5.8162","0.0210","5.8162","11.8699","8.7415"
"","6.9200","5.8330","0.0211","5.8330","11.9041","8.7816"
"","6.9400","5.8499","0.0212","5.8499","11.9385","8.8153"
"","6.9600","5.8665","0.0212","5.8665","11.9725","8.8520"
"","6.9800","5.8833","0.0213","5.8833","12.0067","8.8806"
"","7.0000","5.9002","0.0214","5.9002","12.0412","8.9170"
"","7.0200","5.9168","0.0215","5.9168","12.0752","8.9522"
"","7.0400","5.9330","0.0216","5.9330","12.1082","8.9804"
"","7.0600","5.9495","0.0216","5.9495","12.1419","8.9936"
"","7.0800","5.9665","0.0217","5.9665","12.1766","9.0297"
"","7.1000","5.9833","0.0218","5.9833","12.2108","9.0687"
"","7.1200","5.9998","0.0219","5.9998","12.2445","9.1172"
"","7.1400","6.0166","0.0220","6.0166","12.2787","9.1464"
"","7.1600","6.0335","0.0221","6.0335","12.3132","9.1892"
"","7.1800","6.0499","0.0221","6.0499","12.3467","9.2282"
"","7.2000","6.0660","0.0222","6.0660","12.3797","9.2526"
"","7.2200","6.0830","0.0222","6.0830","12.4144","9.2657"
"","7.2400","6.0999","0.0223","6.0999","12.4488","9.2791"
"","7.2600","6.1166","0.0223","6.1166","12.4828","9.3064"
"","7.2800","6.1332","0.0224","6.1332","12.5168","9.3393"
"","7.3000","6.1502","0.0225","6.1502","12.5515","9.3651"
"","7.3200","6.1667","0.0226","6.1667","12.5852","9.4044"
"","7.3400","6.1829","0.0226","6.1829","12.6182","9.4251"
"","7.3600","6.1997","0.0227","6.1997","12.6524","9.4520"
"","7.3800","6.2167","0.0228","6.2167","12.6871","9.4841"
"","7.4000","6.2334","0.0229","6.2335","12.7213","9.5282"
"","7.4200","6.2500","0.0230","6.2500","12.7551","9.5900"
"","7.4400","6.2667","0.0231","6.2667","12.7893","9.6048"
"","7.4600","6.2835","0.0230","6.2835","12.8235","9.5998"
"","7.4800","6.2998","0.0232","6.2998","12.8567","9.6634"
"","7.5000","6.3162","0.0233","6.3162","12.8902","9.6978"
"","7.5200","6.3332","0.0234","6.3332","12.9249","9.7385"
"","7.5400","6.3503","0.0235","6.3503","12.9598","9.7715"
"","7.5600","6.3667","0.0235","6.3667","12.9933","9.8038"
"","7.5800","6.3831","0.0236","6.3831","13.0268","9.8316"
"","7.6000","6.3999","0.0237","6.3999","13.0610","9.8708"
"","7.6200","6.4163","0.0238","6.4163","13.0945","9.9046"
"","7.6400","6.4328","0.0238","6.4328","13.1283","9.9249"
"","7.6600","6.4496","0.0239","6.4496","13.1625","9.9566"
"","7.6800","6.4667","0.0240","6.4667","13.1974","9.9967"
"","7.7000","6.4835","0.0241","6.4835","13.2316","10.0319"
"","7.7200","6.4999","0.0242","6.4999","13.2651","10.0731"
"","7.7400","6.5165","0.0242","6.5165","13.2991","10.0973"
"","7.7600","6.5332","0.0243","6.5332","13.3330","10.1295"
"","7.7800","6.5497","0.0244","6.5497","13.3668","10.1694"
"","7.8000","6.5662","0.0245","6.5662","13.4005","10.1903"
"","7.8200","6.5832","0.0245","6.5832","13.4352","10.2286"
"","7.8400","6.6002","0.0246","6.6002","13.4699","10.2460"
"","7.8600","6.6167","0.0247","6.6167","13.5034","10.2857"
"","7.8800","6.6330","0.0248","6.6330","13.5366","10.3195"
"","7.9000","6.6497","0.0248","6.6497","13.5708","10.3441"
"","7.9200","6.6665","0.0249","6.6665","13.6051","10.3819"
"","7.9400","6.6830","0.0250","6.6830","13.6388","10.4041"
"","7.9600","6.6999","0.0250","6.6999","13.6732","10.4297"
"","7.9800","6.7170","0.0251","6.7170","13.7082","10.4789"
"","8.0000","6.7338","0.0252","6.7338","13.7424","10.5172"
"","8.0200","6.7498","0.0253","6.7498","13.7752","10.5305"
"","8.0400","6.7662","0.0253","6.7662","13.8086","10.5511"
"","8.0600","6.7829","0.0254","6.7829","13.8426","10.5879"
"","8.0800","6.7994","0.0255","6.7994","13.8763","10.6190"
"","8.1000","6.8161","0.0255","6.8161","13.9103","10.6445"
"","8.1200","6.8332","0.0256","6.8332","13.9453","10.6774"
"","8.1400","6.8502","0.0257","6.8502","13.9799","10.7033"
"","8.1600","6.8665","0.0258","6.8665","14.0132","10.7453"
"","8.1800","6.8829","0.0258","6.8829","14.0467","10.7649"
"","8.2000","6.8996","0.0259","6.8996","14.0809","10.7988"
"","8.2200","6.9165","0.0260","6.9165","14.1153","10.8281"
"","8.2400","6.9330","0.0260","6.9330","14.1491","10.8420"
"","8.2600","6.9498","0.0261","6.9498","14.1833","10.8697"
"","8.2800","6.9669","0.0262","6.9669","14.2182","10.9138"
"","8.3000","6.9833","0.0263","6.9833","14.2517","10.9420"
