Results Table 1


Results Table 2


1,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
,(s),(mm),(kN),(mm),(%),(MPa)
2,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
,(s),(mm),(kN),(mm),(%),(MPa)
3,Time,Displacement,Force,Tensile displacement,Tensile strain (Displacement),Tensile stress
,(s),(mm),(kN),(mm),(%),(MPa)
"","0.0000","0.1065","0.0006","0.1065","0.2173","0.2441"
"","0.0200","0.1088","0.0006","0.1088","0.2221","0.2490"
"","0.0400","0.1176","0.0007","0.1176","0.2400","0.2840"
"","0.0600","0.1338","0.0007","0.1338","0.2730","0.3027"
"","0.0800","0.1549","0.0008","0.1549","0.3161","0.3454"
"","0.1000","0.1774","0.0010","0.1774","0.3621","0.4014"
"","0.1200","0.1990","0.0012","0.1990","0.4062","0.4811"
"","0.1400","0.2190","0.0013","0.2190","0.4469","0.5480"
"","0.1600","0.2376","0.0015","0.2376","0.4850","0.6160"
"","0.1800","0.2552","0.0016","0.2552","0.5209","0.6860"
"","0.2000","0.2724","0.0018","0.2724","0.5558","0.7379"
"","0.2200","0.2891","0.0019","0.2891","0.5900","0.8015"
"","0.2400","0.3061","0.0020","0.3061","0.6247","0.8518"
"","0.2600","0.3231","0.0022","0.3231","0.6594","0.9004"
"","0.2800","0.3400","0.0023","0.3400","0.6939","0.9532"
"","0.3000","0.3566","0.0024","0.3566","0.7278","1.0093"
"","0.3200","0.3732","0.0025","0.3732","0.7616","1.0572"
"","0.3400","0.3898","0.0026","0.3898","0.7955","1.0946"
"","0.3600","0.4063","0.0027","0.4063","0.8293","1.1337"
"","0.3800","0.4230","0.0028","0.4230","0.8633","1.1812"
"","0.4000","0.4399","0.0029","0.4399","0.8977","1.2284"
"","0.4200","0.4569","0.0031","0.4569","0.9324","1.2825"
"","0.4400","0.4734","0.0032","0.4734","0.9661","1.3298"
"","0.4600","0.4899","0.0033","0.4899","0.9999","1.3585"
"","0.4800","0.5065","0.0033","0.5065","1.0336","1.3896"
"","0.5000","0.5231","0.0034","0.5231","1.0676","1.4097"
"","0.5200","0.5399","0.0035","0.5399","1.1018","1.4452"
"","0.5400","0.5566","0.0036","0.5566","1.1360","1.4893"
"","0.5600","0.5736","0.0037","0.5736","1.1707","1.5289"
"","0.5800","0.5903","0.0038","0.5903","1.2046","1.5823"
"","0.6000","0.6067","0.0039","0.6067","1.2381","1.6100"
"","0.6200","0.6231","0.0040","0.6231","1.2716","1.6493"
"","0.6400","0.6397","0.0040","0.6397","1.3056","1.6809"
"","0.6600","0.6563","0.0041","0.6563","1.3393","1.7172"
"","0.6800","0.6729","0.0042","0.6729","1.3733","1.7441"
"","0.7000","0.6898","0.0043","0.6898","1.4078","1.7814"
"","0.7200","0.7066","0.0044","0.7066","1.4420","1.8256"
"","0.7400","0.7231","0.0045","0.7231","1.4757","1.8547"
"","0.7600","0.7395","0.0045","0.7395","1.5092","1.8808"
"","0.7800","0.7563","0.0046","0.7563","1.5434","1.9052"
"","0.8000","0.7731","0.0046","0.7731","1.5778","1.9374"
"","0.8200","0.7898","0.0048","0.7898","1.6118","1.9805"
"","0.8400","0.8068","0.0048","0.8068","1.6465","2.0036"
"","0.8600","0.8237","0.0049","0.8237","1.6810","2.0308"
"","0.8800","0.8403","0.0049","0.8403","1.7149","2.0576"
"","0.9000","0.8566","0.0050","0.8566","1.7482","2.0913"
"","0.9200","0.8731","0.0051","0.8731","1.7819","2.1214"
"","0.9400","0.8899","0.0051","0.8899","1.8161","2.1274"
"","0.9600","0.9067","0.0051","0.9067","1.8503","2.1379"
"","0.9800","0.9233","0.0052","0.9233","1.8843","2.1548"
"","1.0000","0.9400","0.0053","0.9400","1.9183","2.2184"
"","1.0200","0.9566","0.0054","0.9566","1.9523","2.2558"
"","1.0400","0.9731","0.0055","0.9731","1.9860","2.2767"
"","1.0600","0.9894","0.0055","0.9894","2.0192","2.2982"
"","1.0800","1.0063","0.0056","1.0063","2.0537","2.3152"
"","1.1000","1.0233","0.0056","1.0233","2.0884","2.3303"
"","1.1200","1.0400","0.0057","1.0400","2.1223","2.3623"
"","1.1400","1.0566","0.0057","1.0566","2.1563","2.3933"
"","1.1600","1.0734","0.0058","1.0734","2.1905","2.4026"
"","1.1800","1.0898","0.0058","1.0898","2.2240","2.4212"
