Results Table 1


Results Table 2


1,Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
,(s),(mm),(kN),(mm),(%),(MPa),
"","0.0000","0.0000","0.0000","0.0000","0.0000","-0.0007","0.0000"
"","0.0200","0.0022","0.0000","0.0022","0.0056","0.0017","0.0000"
"","0.0400","0.0104","0.0000","0.0104","0.0260","0.0022","0.0000"
"","0.0600","0.0270","0.0001","0.0270","0.0676","0.0067","0.0000"
"","0.0800","0.0496","0.0001","0.0496","0.1240","0.0053","0.0000"
"","0.1000","0.0727","0.0000","0.0727","0.1818","0.0034","0.0000"
"","0.1200","0.0940","0.0000","0.0940","0.2349","-0.0006","0.0000"
"","0.1400","0.1136","0.0000","0.1136","0.2839","-0.0006","0.0000"
"","0.1600","0.1321","0.0000","0.1321","0.3303","0.0008","0.0000"
"","0.1800","0.1498","0.0000","0.1498","0.3745","-0.0009","0.0000"
"","0.2000","0.1673","0.0000","0.1673","0.4182","-0.0037","0.0000"
"","0.2200","0.1844","0.0000","0.1844","0.4610","-0.0044","0.0000"
"","0.2400","0.2014","0.0000","0.2014","0.5035","-0.0032","0.0000"
"","0.2600","0.2183","0.0000","0.2183","0.5457","-0.0038","0.0000"
"","0.2800","0.2349","0.0001","0.2349","0.5873","0.0054","0.0000"
"","0.3000","0.2515","0.0004","0.2515","0.6286","0.0378","0.0000"
"","0.3200","0.2681","0.0009","0.2681","0.6703","0.0905","0.0000"
"","0.3400","0.2850","0.0015","0.2850","0.7125","0.1458","0.0000"
"","0.3600","0.3019","0.0020","0.3019","0.7547","0.2038","0.0000"
"","0.3800","0.3186","0.0026","0.3186","0.7966","0.2625","0.0000"
"","0.4000","0.3353","0.0032","0.3353","0.8382","0.3227","0.0000"
"","0.4200","0.3518","0.0038","0.3518","0.8795","0.3847","0.0000"
"","0.4400","0.3683","0.0044","0.3683","0.9208","0.4442","0.0000"
"","0.4600","0.3850","0.0051","0.3850","0.9624","0.5074","0.0000"
"","0.4800","0.4017","0.0057","0.4017","1.0044","0.5659","0.0000"
"","0.5000","0.4186","0.0062","0.4186","1.0466","0.6226","0.0000"
"","0.5200","0.4354","0.0068","0.4354","1.0885","0.6796","0.0000"
"","0.5400","0.4520","0.0074","0.4520","1.1301","0.7384","0.0000"
"","0.5600","0.4684","0.0080","0.4684","1.1711","0.7978","0.0000"
"","0.5800","0.4850","0.0086","0.4850","1.2124","0.8586","0.0000"
"","0.6000","0.5015","0.0091","0.5015","1.2537","0.9111","0.0000"
"","0.6200","0.5181","0.0097","0.5181","1.2954","0.9667","0.0000"
"","0.6400","0.5351","0.0103","0.5351","1.3379","1.0280","0.0000"
"","0.6600","0.5519","0.0109","0.5519","1.3798","1.0904","0.0000"
"","0.6800","0.5687","0.0115","0.5687","1.4217","1.1508","0.0000"
"","0.7000","0.5852","0.0121","0.5852","1.4630","1.2101","0.0000"
"","0.7200","0.6017","0.0127","0.6017","1.5043","1.2690","0.0000"
"","0.7400","0.6184","0.0133","0.6184","1.5459","1.3288","0.0000"
"","0.7600","0.6350","0.0139","0.6350","1.5876","1.3919","0.0000"
"","0.7800","0.6519","0.0146","0.6519","1.6298","1.4580","0.0000"
"","0.8000","0.6687","0.0152","0.6687","1.6717","1.5198","0.0000"
"","0.8200","0.6853","0.0160","0.6853","1.7133","1.5972","0.0000"
"","0.8400","0.7020","0.0166","0.7020","1.7549","1.6628","0.0000"
"","0.8600","0.7184","0.0172","0.7184","1.7959","1.7232","0.0000"
"","0.8800","0.7351","0.0179","0.7351","1.8378","1.7897","0.0000"
"","0.9000","0.7519","0.0186","0.7519","1.8797","1.8583","0.0000"
"","0.9200","0.7685","0.0193","0.7685","1.9214","1.9294","0.0000"
"","0.9400","0.7853","0.0200","0.7853","1.9633","2.0044","0.0000"
"","0.9600","0.8020","0.0208","0.8020","2.0049","2.0757","0.0000"
"","0.9800","0.8186","0.0215","0.8186","2.0465","2.1483","0.0000"
"","1.0000","0.8349","0.0222","0.8349","2.0872","2.2210","0.0000"
"","1.0200","0.8515","0.0229","0.8515","2.1288","2.2937","0.0000"
"","1.0400","0.8682","0.0237","0.8682","2.1705","2.3674","0.0000"
"","1.0600","0.8848","0.0244","0.8848","2.2121","2.4403","0.0000"
"","1.0800","0.9016","0.0252","0.9016","2.2540","2.5198","0.0000"
"","1.1000","0.9186","0.0260","0.9186","2.2965","2.5988","0.0000"
"","1.1200","0.9355","0.0267","0.9355","2.3387","2.6747","0.0000"
"","1.1400","0.9519","0.0275","0.9519","2.3797","2.7505","0.0000"
"","1.1600","0.9683","0.0282","0.9683","2.4207","2.8225","0.0000"
"","1.1800","0.9851","0.0290","0.9851","2.4626","2.8960","0.0000"
"","1.2000","1.0018","0.0297","1.0018","2.5045","2.9710","0.0000"
"","1.2200","1.0183","0.0306","1.0183","2.5459","3.0552","0.0000"
"","1.2400","1.0352","0.0313","1.0352","2.5881","3.1331","0.0000"
