Results Table 1


Results Table 2


Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
(s),(mm),(kN),(mm),(%),(MPa),
"1.3800","1.1520","-0.0001","1.1520","0.7680","-0.0147","0.0000"
"1.4000","1.1684","-0.0001","1.1684","0.7789","-0.0133","0.0000"
"1.4200","1.1850","-0.0001","1.1850","0.7900","-0.0104","0.0000"
"1.4400","1.2016","-0.0001","1.2016","0.8010","-0.0101","0.0000"
"1.4600","1.2182","-0.0001","1.2182","0.8121","-0.0095","0.0000"
"1.4800","1.2350","-0.0001","1.2350","0.8233","-0.0089","0.0000"
"1.5000","1.2520","-0.0001","1.2520","0.8347","-0.0095","0.0000"
"1.5200","1.2686","-0.0001","1.2686","0.8458","-0.0081","0.0000"
"1.5400","1.2850","-0.0001","1.2850","0.8567","-0.0065","0.0000"
"1.5600","1.3018","-0.0001","1.3018","0.8679","-0.0069","0.0000"
"1.5800","1.3184","-0.0001","1.3184","0.8790","-0.0090","0.0000"
"1.6000","1.3351","-0.0001","1.3351","0.8901","-0.0085","0.0000"
"1.6200","1.3517","-0.0001","1.3517","0.9012","-0.0065","0.0000"
"1.6400","1.3686","-0.0001","1.3686","0.9124","-0.0070","0.0000"
"1.6600","1.3854","-0.0001","1.3854","0.9236","-0.0066","0.0000"
"1.6800","1.4018","-0.0001","1.4018","0.9345","-0.0076","0.0000"
"1.7000","1.4183","-0.0001","1.4183","0.9455","-0.0091","0.0000"
"1.7200","1.4351","-0.0001","1.4351","0.9567","-0.0097","0.0000"
"1.7400","1.4516","-0.0001","1.4516","0.9677","-0.0084","0.0000"
"1.7600","1.4683","-0.0001","1.4683","0.9788","-0.0060","0.0000"
"1.7800","1.4850","0.0000","1.4850","0.9900","-0.0035","0.0000"
"1.8000","1.5020","-0.0001","1.5020","1.0013","-0.0061","0.0000"
"1.8200","1.5183","-0.0001","1.5183","1.0122","-0.0117","0.0000"
"1.8400","1.5347","-0.0001","1.5347","1.0231","-0.0090","0.0000"
"1.8600","1.5515","-0.0001","1.5515","1.0343","-0.0066","0.0000"
"1.8800","1.5684","0.0000","1.5684","1.0456","-0.0044","0.0000"
"1.9000","1.5850","-0.0001","1.5850","1.0567","-0.0056","0.0000"
"1.9200","1.6018","-0.0001","1.6018","1.0679","-0.0065","0.0000"
"1.9400","1.6187","0.0000","1.6187","1.0791","-0.0042","0.0000"
"1.9600","1.6352","-0.0001","1.6352","1.0901","-0.0052","0.0000"
"1.9800","1.6516","-0.0001","1.6516","1.1011","-0.0060","0.0000"
"2.0000","1.6682","0.0000","1.6682","1.1122","-0.0047","0.0000"
"2.0200","1.6852","-0.0001","1.6852","1.1235","-0.0069","0.0000"
"2.0400","1.7019","0.0000","1.7019","1.1346","-0.0042","0.0000"
