Results Table 1


Results Table 2


Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
(s),(mm),(kN),(mm),(%),(MPa),
"0.0000","0.0000","0.0000","0.0000","0.0000","0.0049","0.0000"
"0.0200","0.0017","0.0000","0.0017","0.0041","-0.0004","0.0000"
"0.0400","0.0125","0.0000","0.0125","0.0313","0.0020","0.0000"
"0.0600","0.0323","0.0001","0.0323","0.0809","0.0054","0.0000"
"0.0800","0.0553","0.0000","0.0553","0.1381","0.0048","0.0000"
"0.1000","0.0773","0.0000","0.0773","0.1933","0.0018","0.0000"
"0.1200","0.0975","0.0000","0.0975","0.2438","-0.0025","0.0000"
"0.1400","0.1158","0.0000","0.1158","0.2895","-0.0034","0.0000"
"0.1600","0.1333","0.0000","0.1333","0.3332","-0.0034","0.0000"
"0.1800","0.1504","0.0000","0.1504","0.3760","-0.0029","0.0000"
"0.2000","0.1673","0.0000","0.1673","0.4182","-0.0024","0.0000"
"0.2200","0.1842","0.0000","0.1842","0.4604","-0.0039","0.0000"
"0.2400","0.2010","0.0000","0.2010","0.5026","-0.0006","0.0000"
"0.2600","0.2179","0.0000","0.2179","0.5448","0.0006","0.0000"
"0.2800","0.2345","0.0002","0.2345","0.5861","0.0170","0.0000"
"0.3000","0.2511","0.0006","0.2511","0.6278","0.0618","0.0000"
"0.3200","0.2680","0.0013","0.2680","0.6700","0.1274","0.0000"
"0.3400","0.2849","0.0020","0.2849","0.7122","0.2027","0.0000"
"0.3600","0.3015","0.0028","0.3015","0.7538","0.2769","0.0000"
"0.3800","0.3184","0.0035","0.3184","0.7960","0.3530","0.0000"
"0.4000","0.3353","0.0043","0.3353","0.8382","0.4260","0.0000"
"0.4200","0.3518","0.0050","0.3518","0.8795","0.4993","0.0000"
"0.4400","0.3682","0.0058","0.3682","0.9205","0.5752","0.0000"
"0.4600","0.3847","0.0065","0.3847","0.9619","0.6464","0.0000"
"0.4800","0.4016","0.0072","0.4016","1.0041","0.7177","0.0000"
"0.5000","0.4183","0.0079","0.4183","1.0457","0.7927","0.0000"
"0.5200","0.4349","0.0086","0.4349","1.0873","0.8626","0.0000"
"0.5400","0.4517","0.0093","0.4517","1.1292","0.9323","0.0000"
