 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,Length
1,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1_labeled.tif:c:1/4 z:1/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organ,3.278,13.763,19.692,46.395,0,0,56.165,0.019,0.000,0.000,NaN,46.395
2,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1_labeled.tif:c:1/4 z:1/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organ,10.272,64.988,67.211,145.462,0,0,56.800,0.006,0.000,0.000,NaN,145.462
