 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
167,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0915-1633:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,57.668,115.057,64.575,27.763,9.145,8.029,121.488,0.940,1.139,0.878,1.001
168,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0830-1682:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,35.878,118.768,58.537,22.699,8.256,5.533,142.569,0.875,1.492,0.670,0.996
169,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0593-1446:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,65.081,102.046,42.051,29.876,10.896,7.605,127.235,0.916,1.433,0.698,1.000
170,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0629-1327:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,37.951,93.558,44.364,23.033,8.543,5.656,162.533,0.899,1.510,0.662,1.001
171,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0504-1266:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,57.319,89.398,35.443,28.946,11.151,6.545,159.882,0.860,1.704,0.587,1.000
172,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0438-1073:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,78.218,75.742,30.684,33.105,12.346,8.066,151.680,0.897,1.531,0.653,1.000
173,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0546-0947:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,45.657,66.650,38.732,25.176,9.111,6.380,149.528,0.905,1.428,0.700,1.000
174,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0392-1461:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,49.548,103.093,27.605,25.929,9.362,6.738,142.272,0.926,1.389,0.720,1.000
175,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0838-1419:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,125.155,99.945,59.522,42.378,15.691,10.155,153.902,0.876,1.545,0.647,0.993
176,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1021-1466:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,115.486,104.454,71.037,42.197,15.259,9.636,128.346,0.815,1.583,0.632,0.997
177,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1057-1591:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,35.415,112.419,74.639,22.549,8.510,5.299,98.800,0.875,1.606,0.623,1.002
178,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1382-1515:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,190.774,107.061,97.603,51.802,18.968,12.806,132.372,0.893,1.481,0.675,1.000
179,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1163-1303:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,125.539,92.090,82.105,44.882,18.383,8.695,134.114,0.783,2.114,0.473,1.000
180,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1092-1400:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,108.870,99.238,77.170,44.159,18.728,7.401,128.648,0.702,2.530,0.395,0.978
181,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1231-1545:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,46.539,109.039,87.083,26.521,10.233,5.791,134.164,0.831,1.767,0.566,1.000
182,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1175-1593:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,31.345,112.537,82.840,21.632,8.269,4.826,128.130,0.842,1.713,0.584,0.997
183,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1109-1721:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,47.904,121.382,78.203,26.750,10.216,5.971,172.630,0.841,1.711,0.584,1.000
184,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1018-1728:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,68.708,122.138,71.862,31.332,11.655,7.506,178.330,0.879,1.553,0.644,1.000
185,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0945-1212:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,39.709,85.139,66.891,23.736,8.457,5.978,148.521,0.886,1.415,0.707,1.002
186,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1036-1102:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,110.718,77.695,73.267,38.015,12.528,11.252,174.446,0.963,1.113,0.898,0.999
187,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1337-1208:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,240.337,85.909,94.070,58.495,21.980,13.922,131.982,0.883,1.579,0.633,1.000
188,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1321-1355:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,35.923,95.939,92.925,23.854,9.009,5.077,125.929,0.793,1.774,0.564,1.000
189,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1301-1008:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,63.676,71.183,91.902,29.096,9.410,8.616,148.955,0.945,1.092,0.916,1.000
190,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1475-1430:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,46.943,100.382,104.599,28.079,10.944,5.461,136.706,0.748,2.004,0.499,1.000
191,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1131-0414:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,371.620,29.441,79.776,71.320,25.899,18.270,131.085,0.918,1.418,0.705,1.000
192,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1394-0588:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,203.213,41.098,98.806,54.226,20.128,12.855,166.329,0.868,1.566,0.639,1.000
193,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1594-1508:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,57.230,106.450,112.339,27.773,9.751,7.473,145.593,0.932,1.305,0.766,1.000
194,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1541-1325:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,65.773,93.867,108.768,30.765,11.289,7.418,160.512,0.873,1.522,0.657,1.000
195,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1643-1443:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,39.659,101.774,116.416,24.646,9.334,5.410,143.600,0.820,1.725,0.580,1.000
