 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
224,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0751-1720:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,12.908,121.289,52.798,13.407,4.415,3.723,179.154,0.902,1.186,0.843,1.003
225,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1242-1524:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,55.920,107.775,87.579,29.643,11.866,6.000,161.680,0.800,1.978,0.506,1.000
226,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0367-0496:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,47.411,35.090,25.734,25.282,8.333,7.244,2.667,0.932,1.150,0.869,1.000
227,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0251-0423:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,47.854,29.824,17.684,25.358,8.619,7.069,66.536,0.935,1.219,0.820,0.999
228,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0207-0333:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,48.816,23.608,14.434,25.760,8.749,7.105,21.371,0.924,1.231,0.812,1.000
229,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0270-0516:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,32.017,36.467,19.133,20.746,6.856,5.946,133.946,0.935,1.153,0.867,0.999
230,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0319-0642:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,49.817,45.041,22.259,26.388,9.169,6.918,167.190,0.899,1.325,0.754,1.000
231,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0180-0633:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,121.598,44.915,12.851,40.586,13.857,11.173,82.028,0.928,1.240,0.806,1.000
232,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0421-0734:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,18.771,51.649,29.796,16.105,5.647,4.233,164.152,0.909,1.334,0.750,1.000
233,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0362-0782:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,48.303,55.166,25.677,26.329,9.979,6.163,141.455,0.876,1.619,0.618,0.999
234,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0379-0891:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,27.893,62.792,26.798,19.573,6.733,5.274,137.129,0.915,1.277,0.783,0.999
235,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0680-1712:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,19.204,121.136,48.026,16.969,6.374,3.836,8.579,0.838,1.661,0.602,0.998
236,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0260-0884:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,87.792,62.702,18.479,34.828,12.473,8.962,113.630,0.910,1.392,0.719,1.000
237,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0055-0840-1696:c:1/4 z:55/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,67.716,119.292,59.420,32.782,12.791,6.741,176.905,0.792,1.898,0.527,1.000
238,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0043-0927-1727:c:1/4 z:43/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,66.411,122.224,65.746,32.050,12.407,6.815,11.749,0.812,1.821,0.549,0.993
239,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0043-1016-1722:c:1/4 z:43/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,58.405,121.865,71.572,29.284,11.056,6.726,176.739,0.856,1.644,0.608,0.998
240,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0043-0770-1807:c:1/4 z:43/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,42.863,127.641,54.272,24.072,7.864,6.940,139.446,0.930,1.133,0.882,0.997
241,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0043-0661-1698:c:1/4 z:43/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,47.824,119.891,46.709,25.649,9.377,6.494,154.781,0.914,1.444,0.693,1.000
242,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0044-1475-1263:c:1/4 z:44/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,232.640,89.055,103.721,59.297,22.864,12.955,144.196,0.831,1.765,0.567,0.997
243,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0044-1711-1079:c:1/4 z:44/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,97.542,76.091,120.498,36.284,12.679,9.795,107.839,0.931,1.294,0.773,1.001
244,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0997-0114:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,83.115,7.497,70.569,34.717,12.125,8.728,143.371,0.867,1.389,0.720,0.979
245,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0062-1368-0774:c:1/4 z:62/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,50.574,54.651,96.255,27.026,10.091,6.381,97.158,0.870,1.581,0.632,1.000
246,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0062-0889-1017:c:1/4 z:62/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,34.468,71.704,62.722,21.695,7.567,5.800,89.772,0.920,1.305,0.766,0.998
247,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0069-0503-1613:c:1/4 z:69/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,42.962,113.975,35.622,23.900,7.436,7.356,87.983,0.945,1.011,0.989,0.998
248,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0071-0339-1395:c:1/4 z:71/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,38.922,98.491,23.856,22.976,7.395,6.701,127.326,0.927,1.104,0.906,1.000
249,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1152-1396:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,27.300,98.404,81.181,19.585,7.116,4.884,145.561,0.894,1.457,0.686,0.998
250,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0913-0470:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,94.483,33.079,64.187,36.291,13.559,8.872,131.273,0.901,1.528,0.654,1.000
251,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1000-0390:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,93.213,27.557,70.281,36.773,14.265,8.320,147.593,0.866,1.715,0.583,1.000
252,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1163-0826:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,190.201,58.262,81.995,50.221,16.566,14.618,156.571,0.948,1.133,0.882,0.998
253,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1255-0669:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,64.991,47.283,88.506,29.247,9.708,8.523,122.497,0.955,1.139,0.878,1.000
254,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1093-0338:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,100.521,23.621,77.633,37.362,13.100,9.770,163.835,0.905,1.341,0.746,1.000
255,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1220-0326:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,60.054,22.858,85.904,29.450,10.560,7.241,14.599,0.870,1.458,0.686,1.000
256,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1058-0983:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,47.301,69.219,74.732,25.333,8.988,6.700,154.002,0.926,1.341,0.745,1.000
257,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0946-1073:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,27.026,75.476,67.022,19.796,7.120,4.833,126.876,0.867,1.473,0.679,0.999
258,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0062-1153-1378:c:1/4 z:62/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,37.816,97.248,81.562,23.710,9.285,5.186,157.907,0.845,1.790,0.559,1.001
259,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0056-0634-1478:c:1/4 z:56/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,100.775,104.407,44.838,37.674,14.082,9.112,147.185,0.892,1.546,0.647,0.996
260,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0844-0265:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,123.890,18.815,59.516,40.618,13.780,11.448,169.086,0.944,1.204,0.831,1.000
261,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1016-1404:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,66.242,99.090,71.740,30.710,11.630,7.252,108.400,0.883,1.604,0.624,1.000
262,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1415-0132:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,57.828,9.335,99.835,28.616,10.612,6.938,118.180,0.887,1.529,0.654,0.999
263,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1335-0383:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,126.331,27.136,94.481,40.712,13.184,12.201,106.689,0.958,1.081,0.925,1.000
264,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1672-0604:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,54.146,42.881,117.652,27.817,10.078,6.841,148.480,0.879,1.473,0.679,1.000
265,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-1103-0596:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,152.933,41.750,78.248,45.587,16.492,11.807,137.688,0.925,1.397,0.716,0.999
266,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0808-0778:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,45.045,54.814,57.159,25.839,9.803,5.850,136.912,0.848,1.676,0.597,1.000
267,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0687-0122:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,39.724,8.608,48.625,23.086,7.591,6.663,162.909,0.937,1.139,0.878,1.000
268,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0074-0979-0881:c:1/4 z:74/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,55.900,62.174,69.408,28.452,10.682,6.663,105.430,0.868,1.603,0.624,0.998
