 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0967-1098:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,79.149,47588.155,38917,51828,77.389,68.566,37.714,16.117,6.253,103.025,0.699,2.577,0.388,0.998
2,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0850-1270:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,63.263,48108.589,41604,54383,89.675,60.356,35.497,15.870,5.075,92.298,0.631,3.127,0.320,1.001
3,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0889-1345:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,67.970,47269.434,39670,51964,94.900,62.895,34.944,14.860,5.824,91.103,0.699,2.552,0.392,1.000
4,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0792-1174:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,78.043,47733.789,38181,52838,82.950,56.344,36.643,15.235,6.522,85.964,0.730,2.336,0.428,0.999
5,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0997-1200:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,39.604,47460.916,40676,54448,84.775,70.332,25.628,10.739,4.695,91.124,0.758,2.287,0.437,1.000
6,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0858-0936:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,189.100,50377.394,38102,59979,66.202,60.460,54.740,22.556,10.674,114.021,0.793,2.113,0.473,0.998
7,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-1171-0757:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,113.822,45993.560,37470,51938,53.392,83.012,40.072,14.975,9.678,115.461,0.891,1.547,0.646,1.000
8,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0952-0686:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,93.347,49617.630,40131,56993,48.556,67.189,35.340,11.274,10.542,112.618,0.939,1.069,0.935,1.000
9,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0769-1095:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,68.110,48815.542,42618,54822,77.501,54.603,32.186,12.869,6.738,78.109,0.826,1.910,0.524,1.000
10,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0014-0736-1034:c:4/4 z:14/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,49.428,49960.930,42836,58317,73.141,52.028,26.320,9.548,6.591,68.252,0.897,1.449,0.690,1.001
