 ,Label,Area,Mean,Min,Max,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
11,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-0945-0696:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,91.534,50537.545,43575,57634,49.146,66.493,35.275,12.699,9.177,94.366,0.924,1.384,0.723,1.000
12,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-0762-1089:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,138.197,49145.742,42058,55347,77.283,53.038,44.257,15.235,11.550,92.069,0.887,1.319,0.758,0.993
13,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-0797-1356:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,57.633,46559.840,38959,51550,95.766,56.297,29.369,10.891,6.738,80.393,0.840,1.616,0.619,1.000
14,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-0679-1318:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,21.606,46533.371,40181,51025,93.057,47.968,18.025,7.058,3.898,84.866,0.836,1.811,0.552,1.000
15,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-0682-0852:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,152.271,54173.415,41483,65535,60.340,48.245,45.071,15.803,12.268,173.107,0.942,1.288,0.776,1.000
16,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-0807-0768:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,78.213,52256.777,41691,59839,54.160,56.721,32.562,10.787,9.232,19.200,0.927,1.168,0.856,1.000
17,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-1008-1396:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,178.788,46688.327,39249,51363,98.603,71.947,53.021,21.205,10.735,90.293,0.799,1.975,0.506,1.000
18,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-1040-1269:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,44.521,46775.146,40590,55084,89.586,73.427,25.908,10.291,5.509,83.339,0.833,1.868,0.535,1.000
19,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0024-0851-0635:c:4/4 z:24/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,93.347,51625.097,44621,62056,45.281,59.798,37.373,14.136,8.408,142.966,0.840,1.681,0.595,1.000
20,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0031-1230-0559:c:4/4 z:31/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,128.538,43249.879,37352,48968,39.475,86.745,41.620,14.446,11.329,117.612,0.932,1.275,0.784,1.000
21,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0031-0674-1619:c:4/4 z:31/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,87.120,43690.116,36470,53395,113.920,47.675,37.758,15.448,7.180,93.642,0.768,2.151,0.465,1.000
22,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0031-0702-0597:c:4/4 z:31/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,114.763,55724.497,43183,65183,42.581,49.436,38.973,12.491,11.698,127.195,0.950,1.068,0.937,1.000
23,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0031-1218-1048:c:4/4 z:31/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,112.063,44579.235,38493,48573,73.954,85.853,42.410,16.974,8.406,124.984,0.783,2.019,0.495,0.999
24,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0031-1223-0889:c:4/4 z:31/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,200.493,45853.695,41008,49730,62.596,86.654,52.497,18.282,13.963,126.240,0.914,1.309,0.764,1.000
25,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0031-1052-1533:c:4/4 z:31/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,124.986,45778.243,39915,50893,108.316,74.498,44.374,18.118,8.783,93.350,0.798,2.063,0.485,0.996
26,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0074-0421-1434:c:4/4 z:74/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,70.267,50962.441,42631,56479,101.226,29.491,32.838,13.036,6.863,101.125,0.819,1.899,0.526,0.993
27,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0074-0330-1312:c:4/4 z:74/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,96.769,54499.141,42032,65535,92.718,23.255,38.430,15.047,8.188,92.063,0.823,1.838,0.544,1.000
28,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0074-0503-1302:c:4/4 z:74/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,104.401,49219.615,41655,57178,91.662,35.989,40.112,15.866,8.378,98.235,0.815,1.894,0.528,0.990
29,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0074-0845-0464:c:4/4 z:74/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,53.797,50725.359,41638,58688,32.459,59.783,27.752,10.168,6.737,154.540,0.878,1.509,0.663,0.999
30,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0109-1467-1298:c:4/4 z:109/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_orga,342.128,46881.856,41788,51987,91.333,103.545,67.764,24.564,17.734,161.515,0.936,1.385,0.722,1.000
31,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0109-0952-0333:c:4/4 z:109/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_orga,138.317,43670.566,38750,48714,23.174,67.438,43.351,15.760,11.175,119.591,0.925,1.410,0.709,1.000
32,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0099-0774-0217:c:4/4 z:99/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,50.858,46611.879,38835,52240,15.377,54.674,27.099,10.185,6.358,102.903,0.870,1.602,0.624,1.000
33,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0099-0537-0910:c:4/4 z:99/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,181.060,56365.915,46234,65535,64.321,38.081,49.419,16.997,13.563,116.029,0.932,1.253,0.798,0.997
34,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0087-0741-0404:c:4/4 z:87/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,51.456,50585.532,41166,60020,28.663,52.129,27.878,11.045,5.931,78.188,0.832,1.862,0.537,1.000
35,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0087-0846-0323:c:4/4 z:87/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,55.845,47744.946,41475,58147,22.812,59.654,28.736,11.266,6.312,113.571,0.850,1.785,0.560,1.002
36,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0087-1052-0307:c:4/4 z:87/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,29.551,44151.654,35874,49152,21.452,74.652,21.370,7.910,4.757,87.768,0.813,1.663,0.601,1.001
37,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0087-0607-1202:c:4/4 z:87/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,150.911,50333.416,42081,56348,84.664,42.781,48.527,19.685,9.761,84.769,0.805,2.017,0.496,1.000
38,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0056-0937-0790:c:4/4 z:56/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,269.948,50734.751,40313,57166,55.922,66.009,59.279,18.917,18.169,14.720,0.965,1.041,0.960,1.000
39,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0036-0661-0795:c:4/4 z:36/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,214.786,56061.965,38683,64100,55.657,46.457,54.492,19.818,13.799,61.596,0.909,1.436,0.696,1.000
40,210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organism2.czi - C=3:0055-1297-0948:c:4/4 z:55/112 - 210429_SpiroWS_DiOC6+DAPI+NileRed_63X_organ,585.952,46151.323,39141,53399,67.218,91.118,95.363,38.888,19.185,158.361,0.810,2.027,0.493,1.000
